task_id,family_id,template_id,novelty_fraction,length,system,success,false_accept,unknown,tokens,browser_calls,latency_ms,reused_steps,hit,verification_passed,repair_triggered,confidence,ece_bin
task_0002,family_00,template_00,1.0,8,B-COLD,1,0,0,4042,17,10124,0,0,1,0,0.5,2
task_0002,family_00,template_00,1.0,8,B-INSTRUCTION,1,0,0,3768,15,9336,1,0,1,0,0.5,2
task_0002,family_00,template_00,1.0,8,B-RAG-EMBED,1,0,0,4237,17,8744,0,0,1,0,0.5,2
task_0002,family_00,template_00,1.0,8,B-STAGEHAND-CACHE,1,0,0,4062,17,10044,0,0,1,0,0.5,2
task_0002,family_00,template_00,1.0,8,B-TERX-REPLAY,1,0,0,4031,17,9982,0,0,1,0,0.5,2
task_0002,family_00,template_00,1.0,8,NC1-SHUFFLED,0,0,0,5651,11,12502,0,0,0,0,0.5,2
task_0002,family_00,template_00,1.0,8,NC2-RANDOM,0,1,0,4074,17,10068,0,0,0,0,0.45,2
task_0002,family_00,template_00,1.0,8,B-LENGTH-PROPORTIONAL,1,0,0,4037,17,9994,0,0,1,0,0.5,2
task_0003,family_00,template_00,0.0,8,P-SPIDER-PARAM,1,0,0,303,1,876,8,1,1,0,0.98766,4
task_0003,family_00,template_00,0.0,8,B-COLD,1,0,0,4035,17,10110,0,0,1,0,0.5,2
task_0003,family_00,template_00,0.0,8,B-INSTRUCTION,1,0,0,3757,15,9314,1,0,1,0,0.5,2
task_0003,family_00,template_00,0.0,8,B-RAG-EMBED,1,0,0,601,3,1472,8,1,1,0,0.5,2
task_0003,family_00,template_00,0.0,8,B-STAGEHAND-CACHE,1,0,0,414,1,948,8,1,1,0,0.5,2
task_0003,family_00,template_00,0.0,8,B-TERX-REPLAY,1,0,0,391,1,902,8,1,1,0,0.5,2
task_0003,family_00,template_00,0.0,8,NC1-SHUFFLED,0,1,0,5444,11,12088,0,0,0,0,0.5,2
task_0003,family_00,template_00,0.0,8,NC2-RANDOM,0,1,0,4063,17,10046,0,0,0,0,0.45,2
task_0003,family_00,template_00,0.0,8,B-LENGTH-PROPORTIONAL,1,0,0,4056,17,10032,0,0,1,0,0.5,2
task_0004,family_00,template_00,0.75,8,P-SPIDER-PARAM,1,0,1,2597,9,5464,0,0,0,0,0.89612,4
task_0004,family_00,template_00,0.75,8,B-COLD,1,0,0,4052,17,10144,0,0,1,0,0.5,2
task_0004,family_00,template_00,0.75,8,B-INSTRUCTION,1,0,0,3742,15,9284,1,0,1,0,0.5,2
task_0004,family_00,template_00,0.75,8,B-RAG-EMBED,1,0,0,3350,13,6970,2,1,1,0,0.5,2
task_0004,family_00,template_00,0.75,8,B-STAGEHAND-CACHE,1,0,0,4052,17,10024,0,0,1,0,0.5,2
task_0004,family_00,template_00,0.75,8,B-TERX-REPLAY,1,0,0,4065,17,10050,0,0,1,0,0.5,2
task_0004,family_00,template_00,0.75,8,NC1-SHUFFLED,1,0,0,5562,11,12324,0,0,1,0,0.5,2
task_0004,family_00,template_00,0.75,8,NC2-RANDOM,1,0,0,4050,17,10020,0,0,1,0,0.45,2
task_0004,family_00,template_00,0.75,8,B-LENGTH-PROPORTIONAL,1,0,0,4042,17,10004,0,0,1,0,0.5,2
task_0005,family_00,template_00,0.0,8,P-SPIDER-PARAM,1,0,0,196,1,662,8,1,1,0,0.9257799999999999,4
task_0005,family_00,template_00,0.0,8,B-COLD,1,0,0,4035,17,10110,0,0,1,0,0.5,2
task_0005,family_00,template_00,0.0,8,B-INSTRUCTION,1,0,0,3757,15,9314,1,0,1,0,0.5,2
task_0005,family_00,template_00,0.0,8,B-RAG-EMBED,1,0,0,611,3,1492,8,1,1,0,0.5,2
task_0005,family_00,template_00,0.0,8,B-STAGEHAND-CACHE,1,0,0,402,1,924,8,1,1,0,0.5,2
task_0005,family_00,template_00,0.0,8,B-TERX-REPLAY,1,0,0,391,1,902,8,1,1,0,0.5,2
task_0005,family_00,template_00,0.0,8,NC1-SHUFFLED,1,0,0,5613,11,12426,0,0,1,0,0.5,2
task_0005,family_00,template_00,0.0,8,NC2-RANDOM,0,1,0,4071,17,10062,0,0,0,0,0.45,2
task_0005,family_00,template_00,0.0,8,B-LENGTH-PROPORTIONAL,1,0,0,4049,17,10018,0,0,1,0,0.5,2
task_0006,family_01,template_01,1.0,9,P-SPIDER-PARAM,1,0,0,3464,11,7198,0,1,1,0,0.88418,4
task_0006,family_01,template_01,1.0,9,B-COLD,1,0,0,4535,19,11350,0,0,1,0,0.5,2
task_0006,family_01,template_01,1.0,9,B-INSTRUCTION,1,0,0,4269,17,10578,1,0,1,0,0.5,2
task_0006,family_01,template_01,1.0,9,B-RAG-EMBED,1,0,0,4751,19,9772,0,0,1,0,0.5,2
task_0006,family_01,template_01,1.0,9,B-STAGEHAND-CACHE,1,0,0,4558,19,11276,0,0,1,0,0.5,2
task_0006,family_01,template_01,1.0,9,B-TERX-REPLAY,1,0,0,4532,19,11224,0,0,1,0,0.5,2
task_0006,family_01,template_01,1.0,9,NC1-SHUFFLED,1,0,0,4261,11,9722,0,0,1,0,0.5,2
task_0006,family_01,template_01,1.0,9,NC2-RANDOM,0,1,0,4549,19,11258,0,0,0,0,0.45,2
task_0006,family_01,template_01,1.0,9,B-LENGTH-PROPORTIONAL,1,0,0,4558,19,11276,0,0,1,0,0.5,2
task_0007,family_01,template_01,0.75,9,P-SPIDER-PARAM,1,0,0,2598,9,5466,2,1,1,0,0.88534,4
task_0007,family_01,template_01,0.75,9,B-COLD,1,0,0,4567,19,11414,0,0,1,0,0.5,2
task_0007,family_01,template_01,0.75,9,B-INSTRUCTION,1,0,0,4264,17,10568,1,0,1,0,0.5,2
task_0007,family_01,template_01,0.75,9,B-RAG-EMBED,1,0,0,3850,15,7970,2,1,1,0,0.5,2
task_0007,family_01,template_01,0.75,9,B-STAGEHAND-CACHE,1,0,0,4562,19,11284,0,0,1,0,0.5,2
task_0007,family_01,template_01,0.75,9,B-TERX-REPLAY,1,0,0,4533,19,11226,0,0,1,0,0.5,2
task_0007,family_01,template_01,0.75,9,NC1-SHUFFLED,1,0,0,5496,11,12192,0,0,1,0,0.5,2
task_0007,family_01,template_01,0.75,9,NC2-RANDOM,0,1,0,4558,19,11276,0,0,0,0,0.45,2
task_0007,family_01,template_01,0.75,9,B-LENGTH-PROPORTIONAL,1,0,0,4536,19,11232,0,0,1,0,0.5,2
task_0008,family_01,template_01,0.5,9,P-SPIDER-PARAM,0,1,0,2390,9,5050,5,0,0,1,0.8227999999999999,4
task_0008,family_01,template_01,0.5,9,B-COLD,1,0,0,4534,19,11348,0,0,1,0,0.5,2
task_0008,family_01,template_01,0.5,9,B-INSTRUCTION,1,0,0,4252,17,10544,1,0,1,0,0.5,2
task_0008,family_01,template_01,0.5,9,B-RAG-EMBED,1,0,0,4759,19,9788,0,0,1,0,0.5,2
task_0008,family_01,template_01,0.5,9,B-STAGEHAND-CACHE,1,0,0,4540,19,11240,0,0,1,0,0.5,2
task_0008,family_01,template_01,0.5,9,B-TERX-REPLAY,1,0,0,4536,19,11232,0,0,1,0,0.5,2
task_0008,family_01,template_01,0.5,9,NC1-SHUFFLED,0,0,0,4868,11,10936,0,0,0,0,0.5,2
task_0008,family_01,template_01,0.5,9,NC2-RANDOM,0,1,0,4570,19,11300,0,0,0,0,0.45,2
task_0008,family_01,template_01,0.5,9,B-LENGTH-PROPORTIONAL,1,0,0,4564,19,11288,0,0,1,0,0.5,2
task_0009,family_01,template_01,0.25,9,P-SPIDER-PARAM,1,0,0,1088,3,2446,7,1,1,0,0.8592399999999999,4
task_0009,family_01,template_01,0.25,9,B-COLD,1,0,0,4539,19,11358,0,0,1,0,0.5,2
task_0009,family_01,template_01,0.25,9,B-INSTRUCTION,1,0,0,4238,17,10516,1,0,1,0,0.5,2
task_0009,family_01,template_01,0.25,9,B-RAG-EMBED,0,0,0,1350,5,2970,7,1,0,0,0.5,2
task_0009,family_01,template_01,0.25,9,B-STAGEHAND-CACHE,1,0,0,4569,19,11298,0,0,1,0,0.5,2
task_0009,family_01,template_01,0.25,9,B-TERX-REPLAY,1,0,0,4545,19,11250,0,0,1,0,0.5,2
task_0009,family_01,template_01,0.25,9,NC1-SHUFFLED,1,0,0,5255,11,11710,0,0,1,0,0.5,2
task_0009,family_01,template_01,0.25,9,NC2-RANDOM,1,0,0,4532,19,11224,0,0,1,0,0.45,2
task_0009,family_01,template_01,0.25,9,B-LENGTH-PROPORTIONAL,1,0,0,4558,19,11276,0,0,1,0,0.5,2
task_0010,family_01,template_01,0.25,9,P-SPIDER-PARAM,1,0,0,1030,3,2330,7,1,1,0,0.8754799999999999,4
task_0010,family_01,template_01,0.25,9,B-COLD,1,0,0,4557,19,11394,0,0,1,0,0.5,2
task_0010,family_01,template_01,0.25,9,B-INSTRUCTION,1,0,0,4239,17,10518,1,0,1,0,0.5,2
task_0010,family_01,template_01,0.25,9,B-RAG-EMBED,1,0,0,4744,19,9758,0,0,1,0,0.5,2
task_0010,family_01,template_01,0.25,9,B-STAGEHAND-CACHE,1,0,0,4556,19,11272,0,0,1,0,0.5,2
task_0010,family_01,template_01,0.25,9,B-TERX-REPLAY,1,0,0,4558,19,11276,0,0,1,0,0.5,2
task_0010,family_01,template_01,0.25,9,NC1-SHUFFLED,0,0,0,5151,11,11502,0,0,0,0,0.5,2
task_0010,family_01,template_01,0.25,9,NC2-RANDOM,0,1,0,4556,19,11272,0,0,0,0,0.45,2
task_0010,family_01,template_01,0.25,9,B-LENGTH-PROPORTIONAL,1,0,0,4549,19,11258,0,0,1,0,0.5,2
task_0011,family_01,template_01,0.0,9,P-SPIDER-PARAM,1,0,0,266,1,802,9,1,1,0,0.9873799999999999,4
task_0011,family_01,template_01,0.0,9,B-COLD,1,0,0,4536,19,11352,0,0,1,0,0.5,2
task_0011,family_01,template_01,0.0,9,B-INSTRUCTION,1,0,0,4253,17,10546,1,0,1,0,0.5,2
task_0011,family_01,template_01,0.0,9,B-RAG-EMBED,1,0,0,583,3,1436,9,1,1,0,0.5,2
task_0011,family_01,template_01,0.0,9,B-STAGEHAND-CACHE,1,0,0,393,1,906,9,1,1,0,0.5,2
task_0011,family_01,template_01,0.0,9,B-TERX-REPLAY,1,0,0,407,1,934,9,1,1,0,0.5,2
task_0011,family_01,template_01,0.0,9,NC1-SHUFFLED,1,0,0,5468,11,12136,0,0,1,0,0.5,2
task_0011,family_01,template_01,0.0,9,NC2-RANDOM,0,1,0,4564,19,11288,0,0,0,0,0.45,2
task_0011,family_01,template_01,0.0,9,B-LENGTH-PROPORTIONAL,1,0,0,4542,19,11244,0,0,1,0,0.5,2
task_0012,family_02,template_02,1.0,10,P-SPIDER-PARAM,1,0,1,3393,13,7056,0,0,0,0,0.7724599999999999,3
task_0012,family_02,template_02,1.0,10,B-COLD,1,0,0,5037,21,12594,0,0,1,0,0.5,2
task_0012,family_02,template_02,1.0,10,B-INSTRUCTION,1,0,0,4749,19,11778,1,0,1,0,0.5,2
task_0012,family_02,template_02,1.0,10,B-RAG-EMBED,1,0,0,5238,21,10746,0,0,1,0,0.5,2
task_0012,family_02,template_02,1.0,10,B-STAGEHAND-CACHE,1,0,0,5033,21,12466,0,0,1,0,0.5,2
task_0012,family_02,template_02,1.0,10,B-TERX-REPLAY,1,0,0,5038,21,12476,0,0,1,0,0.5,2
task_0012,family_02,template_02,1.0,10,NC1-SHUFFLED,0,1,0,5241,11,11682,0,0,0,0,0.5,2
task_0012,family_02,template_02,1.0,10,NC2-RANDOM,0,1,0,5050,21,12500,0,0,0,0,0.45,2
task_0012,family_02,template_02,1.0,10,B-LENGTH-PROPORTIONAL,1,0,0,5058,21,12516,0,0,1,0,0.5,2
task_0013,family_02,template_02,0.5,10,P-SPIDER-PARAM,1,0,0,1878,7,4026,5,1,1,0,0.8382,4
task_0013,family_02,template_02,0.5,10,B-COLD,1,0,0,5069,21,12658,0,0,1,0,0.5,2
task_0013,family_02,template_02,0.5,10,B-INSTRUCTION,1,0,0,4755,19,11790,1,0,1,0,0.5,2
task_0013,family_02,template_02,0.5,10,B-RAG-EMBED,1,0,0,5257,21,10784,0,0,1,0,0.5,2
task_0013,family_02,template_02,0.5,10,B-STAGEHAND-CACHE,1,0,0,5045,21,12490,0,0,1,0,0.5,2
task_0013,family_02,template_02,0.5,10,B-TERX-REPLAY,1,0,0,5043,21,12486,0,0,1,0,0.5,2
task_0013,family_02,template_02,0.5,10,NC1-SHUFFLED,0,0,0,4693,11,10586,0,0,0,0,0.5,2
task_0013,family_02,template_02,0.5,10,NC2-RANDOM,0,1,0,5034,21,12468,0,0,0,0,0.45,2
task_0013,family_02,template_02,0.5,10,B-LENGTH-PROPORTIONAL,1,0,0,5045,21,12490,0,0,1,0,0.5,2
task_0014,family_02,template_02,0.0,10,P-SPIDER-PARAM,1,0,0,214,1,698,10,1,1,0,0.99,4
task_0014,family_02,template_02,0.0,10,B-COLD,1,0,0,5035,21,12590,0,0,1,0,0.5,2
task_0014,family_02,template_02,0.0,10,B-INSTRUCTION,1,0,0,4735,19,11750,1,0,1,0,0.5,2
task_0014,family_02,template_02,0.0,10,B-RAG-EMBED,1,0,0,583,3,1436,10,1,1,0,0.5,2
task_0014,family_02,template_02,0.0,10,B-STAGEHAND-CACHE,1,0,0,398,1,916,10,1,1,0,0.5,2
task_0014,family_02,template_02,0.0,10,B-TERX-REPLAY,1,0,0,401,1,922,10,1,1,0,0.5,2
task_0014,family_02,template_02,0.0,10,NC1-SHUFFLED,1,0,0,4739,11,10678,0,0,1,0,0.5,2
task_0014,family_02,template_02,0.0,10,NC2-RANDOM,0,1,0,5032,21,12464,0,0,0,0,0.45,2
task_0014,family_02,template_02,0.0,10,B-LENGTH-PROPORTIONAL,1,0,0,5043,21,12486,0,0,1,0,0.5,2
task_0015,family_02,template_02,0.75,10,P-SPIDER-PARAM,1,0,1,2629,9,5528,0,0,0,0,0.86658,4
task_0015,family_02,template_02,0.75,10,B-COLD,1,0,0,5054,21,12628,0,0,1,0,0.5,2
task_0015,family_02,template_02,0.75,10,B-INSTRUCTION,1,0,0,4757,19,11794,1,0,1,0,0.5,2
task_0015,family_02,template_02,0.75,10,B-RAG-EMBED,1,0,0,4350,17,8970,2,1,1,0,0.5,2
task_0015,family_02,template_02,0.75,10,B-STAGEHAND-CACHE,1,0,0,5056,21,12512,0,0,1,0,0.5,2
task_0015,family_02,template_02,0.75,10,B-TERX-REPLAY,1,0,0,5068,21,12536,0,0,1,0,0.5,2
task_0015,family_02,template_02,0.75,10,NC1-SHUFFLED,1,0,0,4622,11,10444,0,0,1,0,0.5,2
task_0015,family_02,template_02,0.75,10,NC2-RANDOM,0,1,0,5039,21,12478,0,0,0,0,0.45,2
task_0015,family_02,template_02,0.75,10,B-LENGTH-PROPORTIONAL,1,0,0,5036,21,12472,0,0,1,0,0.5,2
task_0016,family_02,template_02,0.25,10,P-SPIDER-PARAM,1,0,0,1011,5,2292,8,1,1,0,0.8591,4
task_0016,family_02,template_02,0.25,10,B-COLD,1,0,0,5041,21,12602,0,0,1,0,0.5,2
task_0016,family_02,template_02,0.25,10,B-INSTRUCTION,1,0,0,4737,19,11754,1,0,1,0,0.5,2
task_0016,family_02,template_02,0.25,10,B-RAG-EMBED,1,0,0,5250,21,10770,0,0,1,0,0.5,2
task_0016,family_02,template_02,0.25,10,B-STAGEHAND-CACHE,1,0,0,5032,21,12464,0,0,1,0,0.5,2
task_0016,family_02,template_02,0.25,10,B-TERX-REPLAY,1,0,0,5048,21,12496,0,0,1,0,0.5,2
task_0016,family_02,template_02,0.25,10,NC1-SHUFFLED,1,0,0,4471,11,10142,0,0,1,0,0.5,2
task_0016,family_02,template_02,0.25,10,NC2-RANDOM,0,1,0,5040,21,12480,0,0,0,0,0.45,2
task_0016,family_02,template_02,0.25,10,B-LENGTH-PROPORTIONAL,1,0,0,5050,21,12500,0,0,1,0,0.5,2
task_0017,family_02,template_02,0.5,10,P-SPIDER-PARAM,1,0,1,2360,7,4990,0,0,0,0,0.8621399999999999,4
task_0017,family_02,template_02,0.5,10,B-COLD,1,0,0,5055,21,12630,0,0,1,0,0.5,2
task_0017,family_02,template_02,0.5,10,B-INSTRUCTION,1,0,0,4761,19,11802,1,0,1,0,0.5,2
task_0017,family_02,template_02,0.5,10,B-RAG-EMBED,1,0,0,2850,11,5970,5,1,1,0,0.5,2
task_0017,family_02,template_02,0.5,10,B-STAGEHAND-CACHE,1,0,0,5068,21,12536,0,0,1,0,0.5,2
task_0017,family_02,template_02,0.5,10,B-TERX-REPLAY,1,0,0,5052,21,12504,0,0,1,0,0.5,2
task_0017,family_02,template_02,0.5,10,NC1-SHUFFLED,0,0,0,4868,11,10936,0,0,0,0,0.5,2
task_0017,family_02,template_02,0.5,10,NC2-RANDOM,0,1,0,5073,21,12546,0,0,0,0,0.45,2
task_0017,family_02,template_02,0.5,10,B-LENGTH-PROPORTIONAL,1,0,0,5049,21,12498,0,0,1,0,0.5,2
task_0018,family_03,template_03,1.0,11,P-SPIDER-PARAM,1,0,1,3435,13,7140,0,0,0,0,0.8084399999999999,4
task_0018,family_03,template_03,1.0,11,B-COLD,1,0,0,5559,23,13878,0,0,1,0,0.5,2
task_0018,family_03,template_03,1.0,11,B-INSTRUCTION,1,0,0,5261,21,13042,1,0,1,0,0.5,2
task_0018,family_03,template_03,1.0,11,B-RAG-EMBED,1,0,0,5757,23,11784,0,0,1,0,0.5,2
task_0018,family_03,template_03,1.0,11,B-STAGEHAND-CACHE,1,0,0,5556,23,13752,0,0,1,0,0.5,2
task_0018,family_03,template_03,1.0,11,B-TERX-REPLAY,1,0,0,5532,23,13704,0,0,1,0,0.5,2
task_0018,family_03,template_03,1.0,11,NC1-SHUFFLED,0,1,0,4280,11,9760,0,0,0,0,0.5,2
task_0018,family_03,template_03,1.0,11,NC2-RANDOM,0,1,0,5571,23,13782,0,0,0,0,0.45,2
task_0018,family_03,template_03,1.0,11,B-LENGTH-PROPORTIONAL,1,0,0,5562,23,13764,0,0,1,0,0.5,2
task_0019,family_03,template_03,0.75,11,P-SPIDER-PARAM,1,0,0,2682,11,5634,3,1,1,0,0.89668,4
task_0019,family_03,template_03,0.75,11,B-COLD,1,0,0,5565,23,13890,0,0,1,0,0.5,2
task_0019,family_03,template_03,0.75,11,B-INSTRUCTION,1,0,0,5251,21,13022,1,0,1,0,0.5,2
task_0019,family_03,template_03,0.75,11,B-RAG-EMBED,1,0,0,5743,23,11756,0,0,1,0,0.5,2
task_0019,family_03,template_03,0.75,11,B-STAGEHAND-CACHE,1,0,0,5560,23,13760,0,0,1,0,0.5,2
task_0019,family_03,template_03,0.75,11,B-TERX-REPLAY,1,0,0,5550,23,13740,0,0,1,0,0.5,2
task_0019,family_03,template_03,0.75,11,NC1-SHUFFLED,1,0,0,4378,11,9956,0,0,1,0,0.5,2
task_0019,family_03,template_03,0.75,11,NC2-RANDOM,1,0,0,5541,23,13722,0,0,1,0,0.45,2
task_0019,family_03,template_03,0.75,11,B-LENGTH-PROPORTIONAL,1,0,0,5546,23,13732,0,0,1,0,0.5,2
task_0020,family_03,template_03,0.0,11,P-SPIDER-PARAM,1,0,0,257,1,784,11,1,1,0,0.91262,4
task_0020,family_03,template_03,0.0,11,B-COLD,1,0,0,5565,23,13890,0,0,1,0,0.5,2
task_0020,family_03,template_03,0.0,11,B-INSTRUCTION,1,0,0,5258,21,13036,1,0,1,0,0.5,2
task_0020,family_03,template_03,0.0,11,B-RAG-EMBED,1,0,0,617,3,1504,11,1,1,0,0.5,2
task_0020,family_03,template_03,0.0,11,B-STAGEHAND-CACHE,1,0,0,401,1,922,11,1,1,0,0.5,2
task_0020,family_03,template_03,0.0,11,B-TERX-REPLAY,1,0,0,401,1,922,11,1,1,0,0.5,2
task_0020,family_03,template_03,0.0,11,NC1-SHUFFLED,0,0,0,5145,11,11490,0,0,0,0,0.5,2
task_0020,family_03,template_03,0.0,11,NC2-RANDOM,1,0,0,5533,23,13706,0,0,1,0,0.45,2
task_0020,family_03,template_03,0.0,11,B-LENGTH-PROPORTIONAL,1,0,0,5541,23,13722,0,0,1,0,0.5,2
task_0021,family_03,template_03,0.25,11,P-SPIDER-PARAM,1,0,0,991,5,2252,8,1,1,0,0.88472,4
task_0021,family_03,template_03,0.25,11,B-COLD,1,0,0,5555,23,13870,0,0,1,0,0.5,2
task_0021,family_03,template_03,0.25,11,B-INSTRUCTION,1,0,0,5256,21,13032,1,0,1,0,0.5,2
task_0021,family_03,template_03,0.25,11,B-RAG-EMBED,1,0,0,1850,7,3970,8,1,1,0,0.5,2
task_0021,family_03,template_03,0.25,11,B-STAGEHAND-CACHE,1,0,0,5561,23,13762,0,0,1,0,0.5,2
task_0021,family_03,template_03,0.25,11,B-TERX-REPLAY,1,0,0,5560,23,13760,0,0,1,0,0.5,2
task_0021,family_03,template_03,0.25,11,NC1-SHUFFLED,1,0,0,5015,11,11230,0,0,1,0,0.5,2
task_0021,family_03,template_03,0.25,11,NC2-RANDOM,1,0,0,5534,23,13708,0,0,1,0,0.45,2
task_0021,family_03,template_03,0.25,11,B-LENGTH-PROPORTIONAL,1,0,0,5562,23,13764,0,0,1,0,0.5,2
task_0022,family_03,template_03,0.5,11,P-SPIDER-PARAM,1,0,1,1888,7,4046,0,0,0,0,0.8246199999999999,4
task_0022,family_03,template_03,0.5,11,B-COLD,1,0,0,5555,23,13870,0,0,1,0,0.5,2
task_0022,family_03,template_03,0.5,11,B-INSTRUCTION,1,0,0,5262,21,13044,1,0,1,0,0.5,2
task_0022,family_03,template_03,0.5,11,B-RAG-EMBED,0,0,0,3350,13,6970,5,1,0,0,0.5,2
task_0022,family_03,template_03,0.5,11,B-STAGEHAND-CACHE,1,0,0,5546,23,13732,0,0,1,0,0.5,2
task_0022,family_03,template_03,0.5,11,B-TERX-REPLAY,1,0,0,5558,23,13756,0,0,1,0,0.5,2
task_0022,family_03,template_03,0.5,11,NC1-SHUFFLED,0,1,0,5085,11,11370,0,0,0,0,0.5,2
task_0022,family_03,template_03,0.5,11,NC2-RANDOM,0,1,0,5542,23,13724,0,0,0,0,0.45,2
task_0022,family_03,template_03,0.5,11,B-LENGTH-PROPORTIONAL,1,0,0,5553,23,13746,0,0,1,0,0.5,2
task_0023,family_03,template_03,0.75,11,P-SPIDER-PARAM,1,0,1,2628,9,5526,0,0,0,0,0.9138999999999999,4
task_0023,family_03,template_03,0.75,11,B-COLD,1,0,0,5567,23,13894,0,0,1,0,0.5,2
task_0023,family_03,template_03,0.75,11,B-INSTRUCTION,1,0,0,5269,21,13058,1,0,1,0,0.5,2
task_0023,family_03,template_03,0.75,11,B-RAG-EMBED,1,0,0,5743,23,11756,0,0,1,0,0.5,2
task_0023,family_03,template_03,0.75,11,B-STAGEHAND-CACHE,1,0,0,5560,23,13760,0,0,1,0,0.5,2
task_0023,family_03,template_03,0.75,11,B-TERX-REPLAY,1,0,0,5533,23,13706,0,0,1,0,0.5,2
task_0023,family_03,template_03,0.75,11,NC1-SHUFFLED,0,1,0,5087,11,11374,0,0,0,0,0.5,2
task_0023,family_03,template_03,0.75,11,NC2-RANDOM,0,1,0,5526,23,13692,0,0,0,0,0.45,2
task_0023,family_03,template_03,0.75,11,B-LENGTH-PROPORTIONAL,1,0,0,5552,23,13744,0,0,1,0,0.5,2
task_0024,family_04,template_04,0.75,12,P-SPIDER-PARAM,1,0,1,2673,9,5616,0,0,0,0,0.8026,4
task_0024,family_04,template_04,0.75,12,B-COLD,1,0,0,6059,25,15118,0,0,1,0,0.5,2
task_0024,family_04,template_04,0.75,12,B-INSTRUCTION,1,0,0,5758,23,14276,1,0,1,0,0.5,2
task_0024,family_04,template_04,0.75,12,B-RAG-EMBED,1,0,0,6251,25,12772,0,0,1,0,0.5,2
task_0024,family_04,template_04,0.75,12,B-STAGEHAND-CACHE,1,0,0,6033,25,14946,0,0,1,0,0.5,2
task_0024,family_04,template_04,0.75,12,B-TERX-REPLAY,1,0,0,6065,25,15010,0,0,1,0,0.5,2
task_0024,family_04,template_04,0.75,12,NC1-SHUFFLED,0,1,0,4616,11,10432,0,0,0,0,0.5,2
task_0024,family_04,template_04,0.75,12,NC2-RANDOM,1,0,0,6054,25,14988,0,0,1,0,0.45,2
task_0024,family_04,template_04,0.75,12,B-LENGTH-PROPORTIONAL,1,0,0,6063,25,15006,0,0,1,0,0.5,2
task_0025,family_04,template_04,1.0,12,P-SPIDER-PARAM,1,0,1,3454,13,7178,0,0,0,0,0.89972,4
task_0025,family_04,template_04,1.0,12,B-COLD,1,0,0,6042,25,15084,0,0,1,0,0.5,2
task_0025,family_04,template_04,1.0,12,B-INSTRUCTION,1,0,0,5762,23,14284,1,0,1,0,0.5,2
task_0025,family_04,template_04,1.0,12,B-RAG-EMBED,1,0,0,6350,25,12970,0,1,1,0,0.5,2
task_0025,family_04,template_04,1.0,12,B-STAGEHAND-CACHE,1,0,0,6060,25,15000,0,0,1,0,0.5,2
task_0025,family_04,template_04,1.0,12,B-TERX-REPLAY,1,0,0,6052,25,14984,0,0,1,0,0.5,2
task_0025,family_04,template_04,1.0,12,NC1-SHUFFLED,1,0,0,5280,11,11760,0,0,1,0,0.5,2
task_0025,family_04,template_04,1.0,12,NC2-RANDOM,0,1,0,6059,25,14998,0,0,0,0,0.45,2
