task_id,family_id,template_id,novelty_fraction,realized_novelty,length,system,success,false_accept,unknown,precision,tokens,tokens_f10,tokens_f100,per_hit,per_hit_f10,per_hit_f100,browser_calls,latency_ms,retrieval_ms,verification_ms,reused_steps,hit,verify_passed,repair_triggered,confidence,ECE_bin,wrong_bound
task_0001,family_00,template_00,0.25,0.5,8,B-LENGTH-PROPORTIONAL,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0002,family_00,template_00,0.5,0.5,8,P-SPIDER-PARAM,1,0,1,0,4350,4350,4260,500.0,500.0,500.0,17,8270,150,120,0,0,1,0,0.5287707054196908,2,0
task_0002,family_00,template_00,0.5,0.5,8,B-COLD,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0002,family_00,template_00,0.5,0.5,8,B-INSTRUCTION,1,0,0,1,4070,4070,4052,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0002,family_00,template_00,0.5,0.5,8,B-RAG-EMBED,1,0,0,1,2450,2450,2450,275.0,275.0,275.0,13,4750,150,120,4,1,1,0,0.5,2,0
task_0002,family_00,template_00,0.5,0.5,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0002,family_00,template_00,0.5,0.5,8,B-TERX-REPLAY,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0002,family_00,template_00,0.5,0.5,8,NC1-SHUFFLED,1,0,1,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.4,2,0
task_0002,family_00,template_00,0.5,0.5,8,NC2-RANDOM,1,0,0,1,5350,5350,5260,637.5,637.5,637.5,23,10510,150,120,2,1,1,1,0.8,4,0
task_0002,family_00,template_00,0.5,0.5,8,B-LENGTH-PROPORTIONAL,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0003,family_00,template_00,0.75,1.0,8,P-SPIDER-PARAM,1,0,1,0,4350,4350,4260,500.0,500.0,500.0,17,8270,150,120,0,0,1,0,0.0,0,0
task_0003,family_00,template_00,0.75,1.0,8,B-COLD,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0003,family_00,template_00,0.75,1.0,8,B-INSTRUCTION,1,0,0,1,4070,4070,4052,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0003,family_00,template_00,0.75,1.0,8,B-RAG-EMBED,1,0,0,1,4250,4250,4250,500.0,500.0,500.0,17,8270,150,120,0,0,1,0,0.5,2,0
task_0003,family_00,template_00,0.75,1.0,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0003,family_00,template_00,0.75,1.0,8,B-TERX-REPLAY,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0003,family_00,template_00,0.75,1.0,8,NC1-SHUFFLED,1,0,1,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.4,2,0
task_0003,family_00,template_00,0.75,1.0,8,NC2-RANDOM,1,0,0,1,2500,2500,2410,281.25,281.25,281.25,14,4870,150,120,5,1,1,1,0.8,4,0
task_0003,family_00,template_00,0.75,1.0,8,B-LENGTH-PROPORTIONAL,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0004,family_00,template_00,1.0,1.0,8,P-SPIDER-PARAM,1,0,1,0,4350,4350,4260,500.0,500.0,500.0,17,8270,150,120,0,0,1,0,0.0,0,0
task_0004,family_00,template_00,1.0,1.0,8,B-COLD,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0004,family_00,template_00,1.0,1.0,8,B-INSTRUCTION,1,0,0,1,4070,4070,4052,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0004,family_00,template_00,1.0,1.0,8,B-RAG-EMBED,1,0,0,1,4250,4250,4250,500.0,500.0,500.0,17,8270,150,120,0,0,1,0,0.5,2,0
task_0004,family_00,template_00,1.0,1.0,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0004,family_00,template_00,1.0,1.0,8,B-TERX-REPLAY,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0004,family_00,template_00,1.0,1.0,8,NC1-SHUFFLED,1,0,1,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.4,2,0
task_0004,family_00,template_00,1.0,1.0,8,NC2-RANDOM,0,1,0,0,3350,3350,3260,387.5,387.5,387.5,15,6510,150,120,2,1,0,1,0.8,4,1
task_0004,family_00,template_00,1.0,1.0,8,B-LENGTH-PROPORTIONAL,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0005,family_00,template_00,0.25,0.5,8,P-SPIDER-PARAM,1,0,1,0,4350,4350,4260,500.0,500.0,500.0,17,8270,150,120,0,0,1,0,0.5138863929419907,2,0
task_0005,family_00,template_00,0.25,0.5,8,B-COLD,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0005,family_00,template_00,0.25,0.5,8,B-INSTRUCTION,1,0,0,1,4070,4070,4052,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0005,family_00,template_00,0.25,0.5,8,B-RAG-EMBED,1,0,0,1,2450,2450,2450,275.0,275.0,275.0,13,4750,150,120,4,1,1,0,0.5,2,0
task_0005,family_00,template_00,0.25,0.5,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0005,family_00,template_00,0.25,0.5,8,B-TERX-REPLAY,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0005,family_00,template_00,0.25,0.5,8,NC1-SHUFFLED,1,0,1,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.4,2,0
task_0005,family_00,template_00,0.25,0.5,8,NC2-RANDOM,1,0,0,1,3350,3350,3260,387.5,387.5,387.5,15,6510,150,120,2,1,1,1,0.8,4,0
task_0005,family_00,template_00,0.25,0.5,8,B-LENGTH-PROPORTIONAL,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0006,family_01,template_01,0.0,0.0,9,P-SPIDER-PARAM,1,0,0,1,800,800,710,50.0,50.0,50.0,10,1350,150,120,9,1,1,0,0.9794401169493708,4,0
task_0006,family_01,template_01,0.0,0.0,9,B-COLD,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0006,family_01,template_01,0.0,0.0,9,B-INSTRUCTION,1,0,0,1,4570,4570,4552,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0006,family_01,template_01,0.0,0.0,9,B-RAG-EMBED,1,0,0,1,700,700,700,50.0,50.0,50.0,10,1350,150,120,9,1,1,0,0.5,2,0
task_0006,family_01,template_01,0.0,0.0,9,B-STAGEHAND-CACHE,1,0,0,1,500,500,500,50.0,50.0,50.0,10,1200,0,120,9,1,1,0,0.5,2,0
task_0006,family_01,template_01,0.0,0.0,9,B-TERX-REPLAY,1,0,0,1,500,500,500,50.0,50.0,50.0,10,1200,0,120,9,1,1,0,0.5,2,0
task_0006,family_01,template_01,0.0,0.0,9,NC1-SHUFFLED,1,0,1,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.4,2,0
task_0006,family_01,template_01,0.0,0.0,9,NC2-RANDOM,0,1,0,0,3350,3350,3260,344.44444444444446,344.44444444444446,344.44444444444446,15,6510,150,120,2,1,0,1,0.8,4,1
task_0006,family_01,template_01,0.0,0.0,9,B-LENGTH-PROPORTIONAL,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0007,family_01,template_01,0.5,0.5,9,P-SPIDER-PARAM,1,0,1,0,4850,4850,4760,500.0,500.0,500.0,19,9270,150,120,0,0,1,0,0.524244181247493,2,0
task_0007,family_01,template_01,0.5,0.5,9,B-COLD,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0007,family_01,template_01,0.5,0.5,9,B-INSTRUCTION,1,0,0,1,4570,4570,4552,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0007,family_01,template_01,0.5,0.5,9,B-RAG-EMBED,1,0,0,1,2500,2500,2500,250.0,250.0,250.0,14,4870,150,120,5,1,1,0,0.5,2,0
task_0007,family_01,template_01,0.5,0.5,9,B-STAGEHAND-CACHE,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0007,family_01,template_01,0.5,0.5,9,B-TERX-REPLAY,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0007,family_01,template_01,0.5,0.5,9,NC1-SHUFFLED,1,0,1,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.4,2,0
task_0007,family_01,template_01,0.5,0.5,9,NC2-RANDOM,0,1,0,0,5350,5350,5260,566.6666666666666,566.6666666666666,566.6666666666666,23,10510,150,120,2,1,0,1,0.8,4,1
task_0007,family_01,template_01,0.5,0.5,9,B-LENGTH-PROPORTIONAL,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0008,family_01,template_01,0.75,1.0,9,P-SPIDER-PARAM,1,0,1,0,4850,4850,4760,500.0,500.0,500.0,19,9270,150,120,0,0,1,0,0.042233059574853675,0,0
task_0008,family_01,template_01,0.75,1.0,9,B-COLD,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0008,family_01,template_01,0.75,1.0,9,B-INSTRUCTION,1,0,0,1,4570,4570,4552,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0008,family_01,template_01,0.75,1.0,9,B-RAG-EMBED,1,0,0,1,4750,4750,4750,500.0,500.0,500.0,19,9270,150,120,0,0,1,0,0.5,2,0
task_0008,family_01,template_01,0.75,1.0,9,B-STAGEHAND-CACHE,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0008,family_01,template_01,0.75,1.0,9,B-TERX-REPLAY,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0008,family_01,template_01,0.75,1.0,9,NC1-SHUFFLED,0,1,1,0,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,0,0,0.4,2,1
task_0008,family_01,template_01,0.75,1.0,9,NC2-RANDOM,1,0,0,1,5350,5350,5260,566.6666666666666,566.6666666666666,566.6666666666666,23,10510,150,120,2,1,1,1,0.8,4,0
task_0008,family_01,template_01,0.75,1.0,9,B-LENGTH-PROPORTIONAL,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0009,family_01,template_01,1.0,1.0,9,P-SPIDER-PARAM,1,0,1,0,4850,4850,4760,500.0,500.0,500.0,19,9270,150,120,0,0,1,0,0.0,0,0
task_0009,family_01,template_01,1.0,1.0,9,B-COLD,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0009,family_01,template_01,1.0,1.0,9,B-INSTRUCTION,1,0,0,1,4570,4570,4552,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0009,family_01,template_01,1.0,1.0,9,B-RAG-EMBED,1,0,0,1,4750,4750,4750,500.0,500.0,500.0,19,9270,150,120,0,0,1,0,0.5,2,0
task_0009,family_01,template_01,1.0,1.0,9,B-STAGEHAND-CACHE,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0009,family_01,template_01,1.0,1.0,9,B-TERX-REPLAY,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0009,family_01,template_01,1.0,1.0,9,NC1-SHUFFLED,1,0,1,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.4,2,0
task_0009,family_01,template_01,1.0,1.0,9,NC2-RANDOM,1,0,0,1,4350,4350,4260,455.55555555555554,455.55555555555554,455.55555555555554,19,8510,150,120,2,1,1,1,0.8,4,0
task_0009,family_01,template_01,1.0,1.0,9,B-LENGTH-PROPORTIONAL,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0010,family_01,template_01,0.25,0.5,9,P-SPIDER-PARAM,1,0,1,0,4850,4850,4760,500.0,500.0,500.0,19,9270,150,120,0,0,1,0,0.536793715232047,2,0
task_0010,family_01,template_01,0.25,0.5,9,B-COLD,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0010,family_01,template_01,0.25,0.5,9,B-INSTRUCTION,1,0,0,1,4570,4570,4552,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0010,family_01,template_01,0.25,0.5,9,B-RAG-EMBED,1,0,0,1,2500,2500,2500,250.0,250.0,250.0,14,4870,150,120,5,1,1,0,0.5,2,0
task_0010,family_01,template_01,0.25,0.5,9,B-STAGEHAND-CACHE,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0010,family_01,template_01,0.25,0.5,9,B-TERX-REPLAY,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0010,family_01,template_01,0.25,0.5,9,NC1-SHUFFLED,1,0,1,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.4,2,0
task_0010,family_01,template_01,0.25,0.5,9,NC2-RANDOM,1,0,0,1,5350,5350,5260,566.6666666666666,566.6666666666666,566.6666666666666,23,10510,150,120,2,1,1,1,0.8,4,0
task_0010,family_01,template_01,0.25,0.5,9,B-LENGTH-PROPORTIONAL,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0011,family_01,template_01,0.5,0.5,9,P-SPIDER-PARAM,1,0,1,0,4850,4850,4760,500.0,500.0,500.0,19,9270,150,120,0,0,1,0,0.46933026132734895,2,0
task_0011,family_01,template_01,0.5,0.5,9,B-COLD,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0011,family_01,template_01,0.5,0.5,9,B-INSTRUCTION,1,0,0,1,4570,4570,4552,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0011,family_01,template_01,0.5,0.5,9,B-RAG-EMBED,1,0,0,1,2500,2500,2500,250.0,250.0,250.0,14,4870,150,120,5,1,1,0,0.5,2,0
task_0011,family_01,template_01,0.5,0.5,9,B-STAGEHAND-CACHE,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0011,family_01,template_01,0.5,0.5,9,B-TERX-REPLAY,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0011,family_01,template_01,0.5,0.5,9,NC1-SHUFFLED,1,0,1,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.4,2,0
task_0011,family_01,template_01,0.5,0.5,9,NC2-RANDOM,1,0,0,1,2050,2050,1960,200.0,200.0,200.0,13,3990,150,120,6,1,1,1,0.8,4,0
task_0011,family_01,template_01,0.5,0.5,9,B-LENGTH-PROPORTIONAL,1,0,0,1,4550,4550,4550,500.0,500.0,500.0,19,9120,0,120,0,0,1,0,0.5,2,0
task_0012,family_02,template_02,0.0,0.0,10,P-SPIDER-PARAM,1,0,0,1,850,850,760,50.0,50.0,50.0,11,1470,150,120,10,1,1,0,0.9828835751209741,4,0
task_0012,family_02,template_02,0.0,0.0,10,B-COLD,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0012,family_02,template_02,0.0,0.0,10,B-INSTRUCTION,1,0,0,1,5070,5070,5052,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0012,family_02,template_02,0.0,0.0,10,B-RAG-EMBED,1,0,0,1,750,750,750,50.0,50.0,50.0,11,1470,150,120,10,1,1,0,0.5,2,0
task_0012,family_02,template_02,0.0,0.0,10,B-STAGEHAND-CACHE,1,0,0,1,550,550,550,50.0,50.0,50.0,11,1320,0,120,10,1,1,0,0.5,2,0
task_0012,family_02,template_02,0.0,0.0,10,B-TERX-REPLAY,1,0,0,1,550,550,550,50.0,50.0,50.0,11,1320,0,120,10,1,1,0,0.5,2,0
task_0012,family_02,template_02,0.0,0.0,10,NC1-SHUFFLED,1,0,1,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.4,2,0
task_0012,family_02,template_02,0.0,0.0,10,NC2-RANDOM,0,1,0,0,5350,5350,5260,510.0,510.0,510.0,23,10510,150,120,2,1,0,1,0.8,4,1
task_0012,family_02,template_02,0.0,0.0,10,B-LENGTH-PROPORTIONAL,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0013,family_02,template_02,0.75,0.6667,10,P-SPIDER-PARAM,1,0,1,0,5350,5350,5260,500.0,500.0,500.0,21,10270,150,120,0,0,1,0,0.08604003057680769,0,0
task_0013,family_02,template_02,0.75,0.6667,10,B-COLD,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0013,family_02,template_02,0.75,0.6667,10,B-INSTRUCTION,1,0,0,1,5070,5070,5052,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0013,family_02,template_02,0.75,0.6667,10,B-RAG-EMBED,1,0,0,1,3900,3900,3900,365.0,365.0,365.0,18,7630,150,120,3,1,1,0,0.5,2,0
task_0013,family_02,template_02,0.75,0.6667,10,B-STAGEHAND-CACHE,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0013,family_02,template_02,0.75,0.6667,10,B-TERX-REPLAY,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0013,family_02,template_02,0.75,0.6667,10,NC1-SHUFFLED,0,1,1,0,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,0,0,0.4,2,1
task_0013,family_02,template_02,0.75,0.6667,10,NC2-RANDOM,1,0,0,1,4850,4850,4760,460.0,460.0,460.0,21,9510,150,120,2,1,1,1,0.8,4,0
task_0013,family_02,template_02,0.75,0.6667,10,B-LENGTH-PROPORTIONAL,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0014,family_02,template_02,1.0,1.0,10,P-SPIDER-PARAM,1,0,1,0,5350,5350,5260,500.0,500.0,500.0,21,10270,150,120,0,0,1,0,0.028831495368124762,0,0
task_0014,family_02,template_02,1.0,1.0,10,B-COLD,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0014,family_02,template_02,1.0,1.0,10,B-INSTRUCTION,1,0,0,1,5070,5070,5052,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0014,family_02,template_02,1.0,1.0,10,B-RAG-EMBED,1,0,0,1,5250,5250,5250,500.0,500.0,500.0,21,10270,150,120,0,0,1,0,0.5,2,0
task_0014,family_02,template_02,1.0,1.0,10,B-STAGEHAND-CACHE,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0014,family_02,template_02,1.0,1.0,10,B-TERX-REPLAY,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0014,family_02,template_02,1.0,1.0,10,NC1-SHUFFLED,1,0,1,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.4,2,0
task_0014,family_02,template_02,1.0,1.0,10,NC2-RANDOM,0,1,0,0,4850,4850,4760,460.0,460.0,460.0,21,9510,150,120,2,1,0,1,0.8,4,1
task_0014,family_02,template_02,1.0,1.0,10,B-LENGTH-PROPORTIONAL,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0015,family_02,template_02,0.25,0.3333,10,P-SPIDER-PARAM,1,0,0,1,1750,1750,1660,140.0,140.0,140.0,13,3230,150,120,8,1,1,1,0.9093115305788592,4,0
task_0015,family_02,template_02,0.25,0.3333,10,B-COLD,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0015,family_02,template_02,0.25,0.3333,10,B-INSTRUCTION,1,0,0,1,5070,5070,5052,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0015,family_02,template_02,0.25,0.3333,10,B-RAG-EMBED,1,0,0,1,2100,2100,2100,185.0,185.0,185.0,14,4110,150,120,7,1,1,0,0.5,2,0
task_0015,family_02,template_02,0.25,0.3333,10,B-STAGEHAND-CACHE,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0015,family_02,template_02,0.25,0.3333,10,B-TERX-REPLAY,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0015,family_02,template_02,0.25,0.3333,10,NC1-SHUFFLED,0,1,1,0,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,0,0,0.4,2,1
task_0015,family_02,template_02,0.25,0.3333,10,NC2-RANDOM,1,0,0,1,3850,3850,3760,360.0,360.0,360.0,17,7510,150,120,2,1,1,1,0.8,4,0
task_0015,family_02,template_02,0.25,0.3333,10,B-LENGTH-PROPORTIONAL,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0016,family_02,template_02,0.5,0.6667,10,P-SPIDER-PARAM,1,0,1,0,5350,5350,5260,500.0,500.0,500.0,21,10270,150,120,0,0,1,0,0.08316544937394527,0,0
task_0016,family_02,template_02,0.5,0.6667,10,B-COLD,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0016,family_02,template_02,0.5,0.6667,10,B-INSTRUCTION,1,0,0,1,5070,5070,5052,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0016,family_02,template_02,0.5,0.6667,10,B-RAG-EMBED,1,0,0,1,3900,3900,3900,365.0,365.0,365.0,18,7630,150,120,3,1,1,0,0.5,2,0
task_0016,family_02,template_02,0.5,0.6667,10,B-STAGEHAND-CACHE,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0016,family_02,template_02,0.5,0.6667,10,B-TERX-REPLAY,1,0,0,1,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,1,0,0.5,2,0
task_0016,family_02,template_02,0.5,0.6667,10,NC1-SHUFFLED,0,1,1,0,5050,5050,5050,500.0,500.0,500.0,21,10120,0,120,0,0,0,0,0.4,2,1
task_0016,family_02,template_02,0.5,0.6667,10,NC2-RANDOM,1,0,0,1,5850,5850,5760,560.0,560.0,560.0,25,11510,150,120,2,1,1,1,0.8,4,0
