task_id,family_id,template_id,novelty_fraction,realized_novelty,length,system,success,false_accept,unknown,precision,tokens,tokens_f10,per_hit,browser_calls,latency_ms,retrieval_ms,verification_ms,reused_steps,hit,verify_passed,repair_triggered,confidence,ECE_bin,wrong_bound,probeHit,etagMatched,ttlValid,auditorBlocked,curatedFlag,frontierHit,frontierCrossFamilyAdoption,retrieval_hit,retrieval_use_hit,frontier_use_hit,provenanceHash,qcr_jaccard,frontier_jaccard
task_0002,family_00,template_00,0.5,0.5,8,NC1-SHUFFLED,0,0,1,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.01,0,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0
task_0002,family_00,template_00,0.5,0.5,8,NC2-RANDOM,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0002,family_00,template_00,0.5,0.5,8,NC3-LENGTH,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0002,family_00,template_00,0.5,0.5,8,NC4-ABLATION,1,0,0,1,4450,4450,550.0,17,1080,0,120,8,1,1,0,0.9535,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0003,family_00,template_00,0.75,1.0,8,P-SPIDER-MEA,1,0,0,1,870,870,63.75,12,1260,150,30,8,1,1,0,0.99,4,0,1,1,1,0,1,1,0,1,1,1,04be958d00f828ff,0.5555555555555556,0.8666666666666667
task_0003,family_00,template_00,0.75,1.0,8,B-COLD,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.9681,4,0,0,0,0,0,0,0,0,0,0,0,,0.5555555555555556,0.0
task_0003,family_00,template_00,0.75,1.0,8,B-RAG-EMBED,1,0,0,1,4250,4250,506.25,18,8270,150,120,0,0,1,0,0.9681,4,0,0,0,0,0,0,0,0,1,0,0,,0.5555555555555556,0.0
task_0003,family_00,template_00,0.75,1.0,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.9681,4,0,0,0,0,0,0,0,0,1,0,0,,0.5555555555555556,0.0
task_0003,family_00,template_00,0.75,1.0,8,B-TERX-REPLAY,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.9681,4,0,0,0,0,0,0,0,0,1,0,0,,0.5555555555555556,0.0
task_0003,family_00,template_00,0.75,1.0,8,NC1-SHUFFLED,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.9851,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0003,family_00,template_00,0.75,1.0,8,NC2-RANDOM,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0003,family_00,template_00,0.75,1.0,8,NC3-LENGTH,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0003,family_00,template_00,0.75,1.0,8,NC4-ABLATION,0,1,0,0,4450,4450,550.0,17,1080,0,120,8,1,0,0,0.01,0,1,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0004,family_00,template_00,1.0,1.0,8,P-SPIDER-MEA,1,0,0,1,910,910,68.75,12,1350,150,120,8,1,1,0,0.99,4,0,0,0,0,0,1,1,0,1,1,1,eb84134ca2fa2edf,0.5333333333333333,0.8
task_0004,family_00,template_00,1.0,1.0,8,B-COLD,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.5333333333333333,0.0
task_0004,family_00,template_00,1.0,1.0,8,B-RAG-EMBED,1,0,0,1,4250,4250,506.25,18,8270,150,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.5333333333333333,0.0
task_0004,family_00,template_00,1.0,1.0,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.5333333333333333,0.0
task_0004,family_00,template_00,1.0,1.0,8,B-TERX-REPLAY,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.5333333333333333,0.0
task_0004,family_00,template_00,1.0,1.0,8,NC1-SHUFFLED,0,0,1,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.0422,0,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0
task_0004,family_00,template_00,1.0,1.0,8,NC2-RANDOM,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.9533,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0004,family_00,template_00,1.0,1.0,8,NC3-LENGTH,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0004,family_00,template_00,1.0,1.0,8,NC4-ABLATION,1,0,0,1,4450,4450,550.0,17,1080,0,120,8,1,1,0,0.9834,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0005,family_00,template_00,0.25,0.5,8,P-SPIDER-MEA,1,0,1,1,870,870,63.75,12,1260,150,30,8,0,0,0,0.044,0,1,1,1,1,1,1,1,0,1,0,0,7a324e69a461aba7,0.562962962962963,0.8888888888888888
task_0005,family_00,template_00,0.25,0.5,8,B-COLD,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.9801,4,0,0,0,0,0,0,0,0,0,0,0,,0.562962962962963,0.0
task_0005,family_00,template_00,0.25,0.5,8,B-RAG-EMBED,1,0,0,1,2450,2450,281.25,14,4750,150,120,4,1,1,0,0.9801,4,0,0,0,0,0,0,0,0,1,1,0,,0.562962962962963,0.0
task_0005,family_00,template_00,0.25,0.5,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.9801,4,0,0,0,0,0,0,0,0,1,0,0,,0.562962962962963,0.0
task_0005,family_00,template_00,0.25,0.5,8,B-TERX-REPLAY,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.9801,4,0,0,0,0,0,0,0,0,1,0,0,,0.562962962962963,0.0
task_0005,family_00,template_00,0.25,0.5,8,NC1-SHUFFLED,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.9792,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0005,family_00,template_00,0.25,0.5,8,NC2-RANDOM,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.9801,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0005,family_00,template_00,0.25,0.5,8,NC3-LENGTH,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0005,family_00,template_00,0.25,0.5,8,NC4-ABLATION,1,0,0,1,4450,4450,550.0,17,1080,0,120,8,1,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0006,family_01,template_01,0.0,0.0,9,P-SPIDER-MEA,1,0,0,1,920,920,62.22222222222222,13,1380,150,30,9,1,1,0,0.99,4,0,1,1,1,0,1,1,0,1,1,1,e2fa428e2b25459c,0.6666666666666666,1.0
task_0006,family_01,template_01,0.0,0.0,9,B-COLD,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.9861,4,0,0,0,0,0,0,0,0,0,0,0,,0.6666666666666666,0.0
task_0006,family_01,template_01,0.0,0.0,9,B-RAG-EMBED,1,0,0,1,700,700,55.55555555555556,11,1350,150,120,9,1,1,0,0.9861,4,0,0,0,0,0,0,0,0,1,1,0,,0.6666666666666666,0.0
task_0006,family_01,template_01,0.0,0.0,9,B-STAGEHAND-CACHE,1,0,0,1,500,500,55.55555555555556,10,1200,0,120,9,1,1,0,0.9861,4,0,0,0,0,0,0,0,0,1,1,0,,0.6666666666666666,0.0
task_0006,family_01,template_01,0.0,0.0,9,B-TERX-REPLAY,1,0,0,1,500,500,55.55555555555556,10,1200,0,120,9,1,1,0,0.9861,4,0,0,0,0,0,0,0,0,1,1,0,,0.6666666666666666,0.0
task_0006,family_01,template_01,0.0,0.0,9,NC1-SHUFFLED,0,0,1,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.0376,0,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0
task_0006,family_01,template_01,0.0,0.0,9,NC2-RANDOM,1,0,0,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0006,family_01,template_01,0.0,0.0,9,NC3-LENGTH,1,0,0,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0006,family_01,template_01,0.0,0.0,9,NC4-ABLATION,1,0,0,1,5000,5000,550.0,19,1200,0,120,9,1,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0007,family_01,template_01,0.5,0.5,9,P-SPIDER-MEA,1,0,0,1,960,960,66.66666666666667,13,1470,150,120,9,1,1,0,0.99,4,0,0,0,0,0,1,1,0,1,1,1,aaa8877eaf5a565d,0.6,1.0
task_0007,family_01,template_01,0.5,0.5,9,B-COLD,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.6,0.0
task_0007,family_01,template_01,0.5,0.5,9,B-RAG-EMBED,1,0,0,1,2500,2500,255.55555555555554,15,4870,150,120,5,1,1,0,0.99,4,0,0,0,0,0,0,0,0,1,1,0,,0.6,0.0
task_0007,family_01,template_01,0.5,0.5,9,B-STAGEHAND-CACHE,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.6,0.0
task_0007,family_01,template_01,0.5,0.5,9,B-TERX-REPLAY,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.6,0.0
task_0007,family_01,template_01,0.5,0.5,9,NC1-SHUFFLED,0,0,1,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.01,0,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0
task_0007,family_01,template_01,0.5,0.5,9,NC2-RANDOM,1,0,0,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0007,family_01,template_01,0.5,0.5,9,NC3-LENGTH,1,0,0,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0007,family_01,template_01,0.5,0.5,9,NC4-ABLATION,0,1,0,0,5000,5000,550.0,19,1200,0,120,9,1,0,0,0.01,0,1,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0008,family_01,template_01,0.75,1.0,9,P-SPIDER-MEA,1,0,0,1,960,960,66.66666666666667,13,1470,150,120,9,1,1,0,0.9567,4,0,0,0,1,0,1,1,0,1,1,1,b230a02eb0293147,0.5523809523809524,0.8571428571428571
task_0008,family_01,template_01,0.75,1.0,9,B-COLD,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.5523809523809524,0.0
task_0008,family_01,template_01,0.75,1.0,9,B-RAG-EMBED,1,0,0,1,4750,4750,505.55555555555554,20,9270,150,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.5523809523809524,0.0
task_0008,family_01,template_01,0.75,1.0,9,B-STAGEHAND-CACHE,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.5523809523809524,0.0
task_0008,family_01,template_01,0.75,1.0,9,B-TERX-REPLAY,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.5523809523809524,0.0
task_0008,family_01,template_01,0.75,1.0,9,NC1-SHUFFLED,0,0,1,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.0475,0,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0
task_0008,family_01,template_01,0.75,1.0,9,NC2-RANDOM,1,0,0,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0008,family_01,template_01,0.75,1.0,9,NC3-LENGTH,1,0,0,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0008,family_01,template_01,0.75,1.0,9,NC4-ABLATION,1,0,0,1,5000,5000,550.0,19,1200,0,120,9,1,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0009,family_01,template_01,1.0,1.0,9,P-SPIDER-MEA,1,0,1,1,960,960,66.66666666666667,13,1470,150,120,9,0,0,0,0.0117,0,1,0,0,0,1,1,1,0,1,0,0,cf9dfd6d95f5282c,0.5523809523809524,0.8571428571428571
task_0009,family_01,template_01,1.0,1.0,9,B-COLD,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.5523809523809524,0.0
task_0009,family_01,template_01,1.0,1.0,9,B-RAG-EMBED,1,0,0,1,4750,4750,505.55555555555554,20,9270,150,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.5523809523809524,0.0
task_0009,family_01,template_01,1.0,1.0,9,B-STAGEHAND-CACHE,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.5523809523809524,0.0
task_0009,family_01,template_01,1.0,1.0,9,B-TERX-REPLAY,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.5523809523809524,0.0
task_0009,family_01,template_01,1.0,1.0,9,NC1-SHUFFLED,0,0,1,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.01,0,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0
task_0009,family_01,template_01,1.0,1.0,9,NC2-RANDOM,1,0,0,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.9535,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0009,family_01,template_01,1.0,1.0,9,NC3-LENGTH,1,0,0,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0009,family_01,template_01,1.0,1.0,9,NC4-ABLATION,1,0,0,1,5000,5000,550.0,19,1200,0,120,9,1,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0010,family_01,template_01,0.25,0.5,9,P-SPIDER-MEA,1,0,1,1,920,920,62.22222222222222,13,1380,150,30,9,0,0,0,0.0184,0,1,1,1,1,1,1,1,0,1,0,0,3d044d040a01e548,0.5952380952380952,1.0
task_0010,family_01,template_01,0.25,0.5,9,B-COLD,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.9821,4,0,0,0,0,0,0,0,0,0,0,0,,0.5952380952380952,0.0
task_0010,family_01,template_01,0.25,0.5,9,B-RAG-EMBED,1,0,0,1,2500,2500,255.55555555555554,15,4870,150,120,5,1,1,0,0.9821,4,0,0,0,0,0,0,0,0,1,1,0,,0.5952380952380952,0.0
task_0010,family_01,template_01,0.25,0.5,9,B-STAGEHAND-CACHE,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.9821,4,0,0,0,0,0,0,0,0,1,0,0,,0.5952380952380952,0.0
task_0010,family_01,template_01,0.25,0.5,9,B-TERX-REPLAY,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.9821,4,0,0,0,0,0,0,0,0,1,0,0,,0.5952380952380952,0.0
task_0010,family_01,template_01,0.25,0.5,9,NC1-SHUFFLED,0,0,1,0,4550,4550,500.0,19,9120,0,120,0,0,0,0,0.01,0,1,0,0,0,1,0,0,0,0,0,0,,0.0,0.0
task_0010,family_01,template_01,0.25,0.5,9,NC2-RANDOM,0,1,0,0,4550,4550,500.0,19,9120,0,120,0,0,0,0,0.0485,0,1,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0010,family_01,template_01,0.25,0.5,9,NC3-LENGTH,1,0,0,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0010,family_01,template_01,0.25,0.5,9,NC4-ABLATION,1,0,0,1,5000,5000,550.0,19,1200,0,120,9,1,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0011,family_01,template_01,0.5,0.5,9,P-SPIDER-MEA,1,0,1,1,960,960,66.66666666666667,13,1470,150,120,9,0,0,0,0.0213,0,1,0,0,0,1,1,1,0,1,0,0,0b4ee4f1529c875d,0.541025641025641,0.9230769230769231
task_0011,family_01,template_01,0.5,0.5,9,B-COLD,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.541025641025641,0.0
task_0011,family_01,template_01,0.5,0.5,9,B-RAG-EMBED,1,0,0,1,2500,2500,255.55555555555554,15,4870,150,120,5,1,1,0,0.99,4,0,0,0,0,0,0,0,0,1,1,0,,0.541025641025641,0.0
task_0011,family_01,template_01,0.5,0.5,9,B-STAGEHAND-CACHE,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.541025641025641,0.0
task_0011,family_01,template_01,0.5,0.5,9,B-TERX-REPLAY,1,0,0,1,4550,4550,505.55555555555554,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.541025641025641,0.0
task_0011,family_01,template_01,0.5,0.5,9,NC1-SHUFFLED,0,0,1,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.01,0,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0
task_0011,family_01,template_01,0.5,0.5,9,NC2-RANDOM,1,0,0,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0011,family_01,template_01,0.5,0.5,9,NC3-LENGTH,1,0,0,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0011,family_01,template_01,0.5,0.5,9,NC4-ABLATION,1,0,0,1,5000,5000,550.0,19,1200,0,120,9,1,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0012,family_02,template_02,0.0,0.0,10,P-SPIDER-MEA,1,0,0,1,970,970,61.0,14,1500,150,30,10,1,1,0,0.99,4,0,1,1,1,0,1,1,0,1,1,1,2322950b99b11622,0.75,1.0
task_0012,family_02,template_02,0.0,0.0,10,B-COLD,1,0,0,1,5050,5050,505.0,21,10120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.75,0.0
task_0012,family_02,template_02,0.0,0.0,10,B-RAG-EMBED,1,0,0,1,750,750,55.0,12,1470,150,120,10,1,1,0,0.99,4,0,0,0,0,0,0,0,0,1,1,0,,0.75,0.0
task_0012,family_02,template_02,0.0,0.0,10,B-STAGEHAND-CACHE,1,0,0,1,550,550,55.0,11,1320,0,120,10,1,1,0,0.99,4,0,0,0,0,0,0,0,0,1,1,0,,0.75,0.0
task_0012,family_02,template_02,0.0,0.0,10,B-TERX-REPLAY,1,0,0,1,550,550,55.0,11,1320,0,120,10,1,1,0,0.99,4,0,0,0,0,0,0,0,0,1,1,0,,0.75,0.0
task_0012,family_02,template_02,0.0,0.0,10,NC1-SHUFFLED,0,0,1,1,5050,5050,500.0,21,10120,0,120,0,0,1,0,0.045,0,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0
task_0012,family_02,template_02,0.0,0.0,10,NC2-RANDOM,1,0,0,1,5050,5050,500.0,21,10120,0,120,0,0,1,0,0.988,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0012,family_02,template_02,0.0,0.0,10,NC3-LENGTH,1,0,0,1,5050,5050,500.0,21,10120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0012,family_02,template_02,0.0,0.0,10,NC4-ABLATION,0,1,0,0,5550,5550,550.0,21,1320,0,120,10,1,0,0,0.01,0,1,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0013,family_02,template_02,0.75,0.6667,10,P-SPIDER-MEA,1,0,0,1,1010,1010,65.0,14,1590,150,120,10,1,1,0,0.99,4,0,0,0,1,0,1,1,0,1,1,1,077540b6d24841e1,0.6666666666666667,1.0
task_0013,family_02,template_02,0.75,0.6667,10,B-COLD,1,0,0,1,5050,5050,505.0,21,10120,0,120,0,0,1,0,0.9551,4,0,0,0,0,0,0,0,0,0,0,0,,0.6666666666666667,0.0
task_0013,family_02,template_02,0.75,0.6667,10,B-RAG-EMBED,1,0,0,1,3900,3900,370.0,19,7630,150,120,3,1,1,0,0.9551,4,0,0,0,0,0,0,0,0,1,1,0,,0.6666666666666667,0.0
task_0013,family_02,template_02,0.75,0.6667,10,B-STAGEHAND-CACHE,1,0,0,1,5050,5050,505.0,21,10120,0,120,0,0,1,0,0.9551,4,0,0,0,0,0,0,0,0,1,0,0,,0.6666666666666667,0.0
task_0013,family_02,template_02,0.75,0.6667,10,B-TERX-REPLAY,1,0,0,1,5050,5050,505.0,21,10120,0,120,0,0,1,0,0.9551,4,0,0,0,0,0,0,0,0,1,0,0,,0.6666666666666667,0.0
