task_id,family_id,template_id,novelty_fraction,realized_novelty,length,system,success,false_accept,unknown,precision,tokens,tokens_f10,per_hit,browser_calls,latency_ms,retrieval_ms,verification_ms,reused_steps,hit,verify_passed,repair_triggered,confidence,ECE_bin,wrong_bound,probeHit,auditorBlocked,curatedFlag
task_0001,family_00,template_00,0.25,0.5,8,B-RAG-EMBED,1,0,0,1,2450,2450,275.0,14,4750,150,120,4,1,1,0,0.5,2,0,False,False,0
task_0001,family_00,template_00,0.25,0.5,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0001,family_00,template_00,0.25,0.5,8,B-TERX-REPLAY,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0001,family_00,template_00,0.25,0.5,8,NC1-SHUFFLED,1,0,1,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.4,2,0,False,False,0
task_0001,family_00,template_00,0.25,0.5,8,NC2-RANDOM,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,1,0.8,4,0,False,False,0
task_0001,family_00,template_00,0.25,0.5,8,NC3-LENGTH,1,0,0,1,4050,4050,500,17,8120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0001,family_00,template_00,0.25,0.5,8,NC4-ABLATION,0,1,0,0,4450,4450,550.0,17,1080,0,120,8,1,0,0,0.8,4,1,False,False,0
task_0002,family_00,template_00,0.5,0.5,8,P-SPIDER-MEA,1,0,0,1,470,470,20.0,3,380,0,120,1,1,1,0,0.93,4,0,True,False,1
task_0002,family_00,template_00,0.5,0.5,8,B-COLD,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0002,family_00,template_00,0.5,0.5,8,B-RAG-EMBED,1,0,0,1,2450,2450,275.0,14,4750,150,120,4,1,1,0,0.5,2,0,False,False,0
task_0002,family_00,template_00,0.5,0.5,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0002,family_00,template_00,0.5,0.5,8,B-TERX-REPLAY,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0002,family_00,template_00,0.5,0.5,8,NC1-SHUFFLED,1,0,1,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.4,2,0,False,False,0
task_0002,family_00,template_00,0.5,0.5,8,NC2-RANDOM,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,1,0.8,4,0,False,False,0
task_0002,family_00,template_00,0.5,0.5,8,NC3-LENGTH,1,0,0,1,4050,4050,500,17,8120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0002,family_00,template_00,0.5,0.5,8,NC4-ABLATION,1,0,0,1,4450,4450,550.0,17,1080,0,120,8,1,1,0,0.8,4,0,False,False,0
task_0003,family_00,template_00,0.75,1.0,8,P-SPIDER-MEA,1,0,0,1,470,470,20.0,3,380,0,120,1,1,1,0,0.86,4,0,True,False,1
task_0003,family_00,template_00,0.75,1.0,8,B-COLD,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0003,family_00,template_00,0.75,1.0,8,B-RAG-EMBED,1,0,0,1,4250,4250,500.0,18,8270,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0003,family_00,template_00,0.75,1.0,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0003,family_00,template_00,0.75,1.0,8,B-TERX-REPLAY,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0003,family_00,template_00,0.75,1.0,8,NC1-SHUFFLED,1,0,1,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.4,2,0,False,False,0
task_0003,family_00,template_00,0.75,1.0,8,NC2-RANDOM,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,1,0.8,4,0,False,False,0
task_0003,family_00,template_00,0.75,1.0,8,NC3-LENGTH,1,0,0,1,4050,4050,500,17,8120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0003,family_00,template_00,0.75,1.0,8,NC4-ABLATION,0,1,0,0,4450,4450,550.0,17,1080,0,120,8,1,0,0,0.8,4,1,False,False,0
task_0004,family_00,template_00,1.0,1.0,8,P-SPIDER-MEA,1,0,0,1,470,470,20.0,3,380,0,120,1,1,1,0,0.85,4,0,True,False,1
task_0004,family_00,template_00,1.0,1.0,8,B-COLD,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0004,family_00,template_00,1.0,1.0,8,B-RAG-EMBED,1,0,0,1,4250,4250,500.0,18,8270,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0004,family_00,template_00,1.0,1.0,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0004,family_00,template_00,1.0,1.0,8,B-TERX-REPLAY,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0004,family_00,template_00,1.0,1.0,8,NC1-SHUFFLED,1,0,1,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.4,2,0,False,False,0
task_0004,family_00,template_00,1.0,1.0,8,NC2-RANDOM,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,1,0.8,4,0,False,False,0
task_0004,family_00,template_00,1.0,1.0,8,NC3-LENGTH,1,0,0,1,4050,4050,500,17,8120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0004,family_00,template_00,1.0,1.0,8,NC4-ABLATION,1,0,0,1,4450,4450,550.0,17,1080,0,120,8,1,1,0,0.8,4,0,False,False,0
task_0005,family_00,template_00,0.25,0.5,8,P-SPIDER-MEA,1,0,0,1,470,470,20.0,3,380,0,120,1,1,1,0,0.91,4,0,True,False,1
task_0005,family_00,template_00,0.25,0.5,8,B-COLD,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0005,family_00,template_00,0.25,0.5,8,B-RAG-EMBED,1,0,0,1,2450,2450,275.0,14,4750,150,120,4,1,1,0,0.5,2,0,False,False,0
task_0005,family_00,template_00,0.25,0.5,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0005,family_00,template_00,0.25,0.5,8,B-TERX-REPLAY,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0005,family_00,template_00,0.25,0.5,8,NC1-SHUFFLED,1,0,1,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.4,2,0,False,False,0
task_0005,family_00,template_00,0.25,0.5,8,NC2-RANDOM,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,1,0.8,4,0,False,False,0
task_0005,family_00,template_00,0.25,0.5,8,NC3-LENGTH,1,0,0,1,4050,4050,500,17,8120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0005,family_00,template_00,0.25,0.5,8,NC4-ABLATION,1,0,0,1,4450,4450,550.0,17,1080,0,120,8,1,1,0,0.8,4,0,False,False,0
task_0006,family_01,template_01,0.0,0.0,9,P-SPIDER-MEA,1,0,0,1,470,470,17.77777777777778,3,380,0,120,1,1,1,0,0.87,4,0,True,False,1
task_0006,family_01,template_01,0.0,0.0,9,B-COLD,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0006,family_01,template_01,0.0,0.0,9,B-RAG-EMBED,1,0,0,1,700,700,50.0,11,1350,150,120,9,1,1,0,0.5,2,0,False,False,0
task_0006,family_01,template_01,0.0,0.0,9,B-STAGEHAND-CACHE,1,0,0,1,500,500,27.77777777777778,10,1200,150,120,9,1,1,0,0.5,2,0,False,False,0
task_0006,family_01,template_01,0.0,0.0,9,B-TERX-REPLAY,1,0,0,1,500,500,27.77777777777778,10,1200,150,120,9,1,1,0,0.5,2,0,False,False,0
task_0006,family_01,template_01,0.0,0.0,9,NC1-SHUFFLED,0,1,1,0,4550,4550,500.0,19,9120,0,120,0,0,0,0,0.4,2,1,False,False,0
task_0006,family_01,template_01,0.0,0.0,9,NC2-RANDOM,0,1,0,0,4550,4550,500.0,19,9120,0,120,0,0,0,1,0.8,4,1,False,False,0
task_0006,family_01,template_01,0.0,0.0,9,NC3-LENGTH,1,0,0,1,4550,4550,500,19,9120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0006,family_01,template_01,0.0,0.0,9,NC4-ABLATION,1,0,0,1,5000,5000,550.0,19,1200,0,120,9,1,1,0,0.8,4,0,False,False,0
task_0007,family_01,template_01,0.5,0.5,9,P-SPIDER-MEA,1,0,0,1,470,470,17.77777777777778,3,380,0,120,1,1,1,0,0.92,4,0,True,False,1
task_0007,family_01,template_01,0.5,0.5,9,B-COLD,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0007,family_01,template_01,0.5,0.5,9,B-RAG-EMBED,1,0,0,1,2500,2500,250.0,15,4870,150,120,5,1,1,0,0.5,2,0,False,False,0
task_0007,family_01,template_01,0.5,0.5,9,B-STAGEHAND-CACHE,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0007,family_01,template_01,0.5,0.5,9,B-TERX-REPLAY,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0007,family_01,template_01,0.5,0.5,9,NC1-SHUFFLED,0,1,1,0,4550,4550,500.0,19,9120,0,120,0,0,0,0,0.4,2,1,False,False,0
task_0007,family_01,template_01,0.5,0.5,9,NC2-RANDOM,0,1,0,0,4550,4550,500.0,19,9120,0,120,0,0,0,1,0.8,4,1,False,False,0
task_0007,family_01,template_01,0.5,0.5,9,NC3-LENGTH,1,0,0,1,4550,4550,500,19,9120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0007,family_01,template_01,0.5,0.5,9,NC4-ABLATION,0,1,0,0,5000,5000,550.0,19,1200,0,120,9,1,0,0,0.8,4,1,False,False,0
task_0008,family_01,template_01,0.75,1.0,9,P-SPIDER-MEA,1,0,0,1,470,470,17.77777777777778,3,380,0,120,1,1,1,0,0.92,4,0,True,False,1
task_0008,family_01,template_01,0.75,1.0,9,B-COLD,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0008,family_01,template_01,0.75,1.0,9,B-RAG-EMBED,1,0,0,1,4750,4750,500.0,20,9270,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0008,family_01,template_01,0.75,1.0,9,B-STAGEHAND-CACHE,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0008,family_01,template_01,0.75,1.0,9,B-TERX-REPLAY,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0008,family_01,template_01,0.75,1.0,9,NC1-SHUFFLED,1,0,1,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.4,2,0,False,False,0
task_0008,family_01,template_01,0.75,1.0,9,NC2-RANDOM,1,0,0,1,4550,4550,500.0,19,9120,0,120,0,0,1,1,0.8,4,0,False,False,0
task_0008,family_01,template_01,0.75,1.0,9,NC3-LENGTH,1,0,0,1,4550,4550,500,19,9120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0008,family_01,template_01,0.75,1.0,9,NC4-ABLATION,1,0,0,1,5000,5000,550.0,19,1200,0,120,9,1,1,0,0.8,4,0,False,False,0
task_0009,family_01,template_01,1.0,1.0,9,P-SPIDER-MEA,1,0,0,1,470,470,17.77777777777778,3,380,0,120,1,1,1,0,0.85,4,0,True,False,1
task_0009,family_01,template_01,1.0,1.0,9,B-COLD,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0009,family_01,template_01,1.0,1.0,9,B-RAG-EMBED,1,0,0,1,4750,4750,500.0,20,9270,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0009,family_01,template_01,1.0,1.0,9,B-STAGEHAND-CACHE,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0009,family_01,template_01,1.0,1.0,9,B-TERX-REPLAY,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0009,family_01,template_01,1.0,1.0,9,NC1-SHUFFLED,1,0,1,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.4,2,0,False,False,0
task_0009,family_01,template_01,1.0,1.0,9,NC2-RANDOM,1,0,0,1,4550,4550,500.0,19,9120,0,120,0,0,1,1,0.8,4,0,False,False,0
task_0009,family_01,template_01,1.0,1.0,9,NC3-LENGTH,1,0,0,1,4550,4550,500,19,9120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0009,family_01,template_01,1.0,1.0,9,NC4-ABLATION,1,0,0,1,5000,5000,550.0,19,1200,0,120,9,1,1,0,0.8,4,0,False,False,0
task_0010,family_01,template_01,0.25,0.5,9,P-SPIDER-MEA,1,0,0,1,470,470,17.77777777777778,3,380,0,120,1,1,1,0,0.93,4,0,True,False,1
task_0010,family_01,template_01,0.25,0.5,9,B-COLD,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0010,family_01,template_01,0.25,0.5,9,B-RAG-EMBED,1,0,0,1,2500,2500,250.0,15,4870,150,120,5,1,1,0,0.5,2,0,False,False,0
task_0010,family_01,template_01,0.25,0.5,9,B-STAGEHAND-CACHE,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0010,family_01,template_01,0.25,0.5,9,B-TERX-REPLAY,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0010,family_01,template_01,0.25,0.5,9,NC1-SHUFFLED,1,0,1,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.4,2,0,False,False,0
task_0010,family_01,template_01,0.25,0.5,9,NC2-RANDOM,1,0,0,1,4550,4550,500.0,19,9120,0,120,0,0,1,1,0.8,4,0,False,False,0
task_0010,family_01,template_01,0.25,0.5,9,NC3-LENGTH,1,0,0,1,4550,4550,500,19,9120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0010,family_01,template_01,0.25,0.5,9,NC4-ABLATION,1,0,0,1,5000,5000,550.0,19,1200,0,120,9,1,1,0,0.8,4,0,False,False,0
task_0011,family_01,template_01,0.5,0.5,9,P-SPIDER-MEA,1,0,0,1,470,470,17.77777777777778,3,380,0,120,1,1,1,0,0.87,4,0,True,False,1
task_0011,family_01,template_01,0.5,0.5,9,B-COLD,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0011,family_01,template_01,0.5,0.5,9,B-RAG-EMBED,1,0,0,1,2500,2500,250.0,15,4870,150,120,5,1,1,0,0.5,2,0,False,False,0
task_0011,family_01,template_01,0.5,0.5,9,B-STAGEHAND-CACHE,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0011,family_01,template_01,0.5,0.5,9,B-TERX-REPLAY,1,0,0,1,4550,4550,477.77777777777777,19,9120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0011,family_01,template_01,0.5,0.5,9,NC1-SHUFFLED,1,0,1,1,4550,4550,500.0,19,9120,0,120,0,0,1,0,0.4,2,0,False,False,0
task_0011,family_01,template_01,0.5,0.5,9,NC2-RANDOM,1,0,0,1,4550,4550,500.0,19,9120,0,120,0,0,1,1,0.8,4,0,False,False,0
task_0011,family_01,template_01,0.5,0.5,9,NC3-LENGTH,1,0,0,1,4550,4550,500,19,9120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0011,family_01,template_01,0.5,0.5,9,NC4-ABLATION,1,0,0,1,5000,5000,550.0,19,1200,0,120,9,1,1,0,0.8,4,0,False,False,0
task_0012,family_02,template_02,0.0,0.0,10,P-SPIDER-MEA,1,0,0,1,470,470,16.0,3,380,0,120,1,1,1,0,0.89,4,0,True,False,1
task_0012,family_02,template_02,0.0,0.0,10,B-COLD,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0012,family_02,template_02,0.0,0.0,10,B-RAG-EMBED,1,0,0,1,750,750,50.0,12,1470,150,120,10,1,1,0,0.5,2,0,False,False,0
task_0012,family_02,template_02,0.0,0.0,10,B-STAGEHAND-CACHE,1,0,0,1,550,550,30.0,11,1320,150,120,10,1,1,0,0.5,2,0,False,False,0
task_0012,family_02,template_02,0.0,0.0,10,B-TERX-REPLAY,1,0,0,1,550,550,30.0,11,1320,150,120,10,1,1,0,0.5,2,0,False,False,0
task_0012,family_02,template_02,0.0,0.0,10,NC1-SHUFFLED,1,0,1,1,5050,5050,500.0,21,10120,0,120,0,0,1,0,0.4,2,0,False,False,0
task_0012,family_02,template_02,0.0,0.0,10,NC2-RANDOM,1,0,0,1,5050,5050,500.0,21,10120,0,120,0,0,1,1,0.8,4,0,False,False,0
task_0012,family_02,template_02,0.0,0.0,10,NC3-LENGTH,1,0,0,1,5050,5050,500,21,10120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0012,family_02,template_02,0.0,0.0,10,NC4-ABLATION,0,1,0,0,5550,5550,550.0,21,1320,0,120,10,1,0,0,0.8,4,1,False,False,0
task_0013,family_02,template_02,0.75,0.6667,10,P-SPIDER-MEA,1,0,0,1,470,470,16.0,3,380,0,120,1,1,1,0,0.86,4,0,True,False,1
task_0013,family_02,template_02,0.75,0.6667,10,B-COLD,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0013,family_02,template_02,0.75,0.6667,10,B-RAG-EMBED,1,0,0,1,3900,3900,365.0,19,7630,150,120,3,1,1,0,0.5,2,0,False,False,0
task_0013,family_02,template_02,0.75,0.6667,10,B-STAGEHAND-CACHE,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0013,family_02,template_02,0.75,0.6667,10,B-TERX-REPLAY,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0013,family_02,template_02,0.75,0.6667,10,NC1-SHUFFLED,0,1,1,0,5050,5050,500.0,21,10120,0,120,0,0,0,0,0.4,2,1,False,False,0
task_0013,family_02,template_02,0.75,0.6667,10,NC2-RANDOM,0,1,0,0,5050,5050,500.0,21,10120,0,120,0,0,0,1,0.8,4,1,False,False,0
task_0013,family_02,template_02,0.75,0.6667,10,NC3-LENGTH,1,0,0,1,5050,5050,500,21,10120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0013,family_02,template_02,0.75,0.6667,10,NC4-ABLATION,1,0,0,1,5550,5550,550.0,21,1320,0,120,10,1,1,0,0.8,4,0,False,False,0
task_0014,family_02,template_02,1.0,1.0,10,P-SPIDER-MEA,1,0,0,1,470,470,16.0,3,380,0,120,1,1,1,0,0.92,4,0,True,False,1
task_0014,family_02,template_02,1.0,1.0,10,B-COLD,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0014,family_02,template_02,1.0,1.0,10,B-RAG-EMBED,1,0,0,1,5250,5250,500.0,22,10270,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0014,family_02,template_02,1.0,1.0,10,B-STAGEHAND-CACHE,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0014,family_02,template_02,1.0,1.0,10,B-TERX-REPLAY,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0014,family_02,template_02,1.0,1.0,10,NC1-SHUFFLED,1,0,1,1,5050,5050,500.0,21,10120,0,120,0,0,1,0,0.4,2,0,False,False,0
task_0014,family_02,template_02,1.0,1.0,10,NC2-RANDOM,1,0,0,1,5050,5050,500.0,21,10120,0,120,0,0,1,1,0.8,4,0,False,False,0
task_0014,family_02,template_02,1.0,1.0,10,NC3-LENGTH,1,0,0,1,5050,5050,500,21,10120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0014,family_02,template_02,1.0,1.0,10,NC4-ABLATION,1,0,0,1,5550,5550,550.0,21,1320,0,120,10,1,1,0,0.8,4,0,False,False,0
task_0015,family_02,template_02,0.25,0.3333,10,P-SPIDER-MEA,1,0,0,1,470,470,16.0,3,380,0,120,1,1,1,0,0.94,4,0,True,False,1
task_0015,family_02,template_02,0.25,0.3333,10,B-COLD,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0015,family_02,template_02,0.25,0.3333,10,B-RAG-EMBED,1,0,0,1,2100,2100,185.0,15,4110,150,120,7,1,1,0,0.5,2,0,False,False,0
task_0015,family_02,template_02,0.25,0.3333,10,B-STAGEHAND-CACHE,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0015,family_02,template_02,0.25,0.3333,10,B-TERX-REPLAY,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0015,family_02,template_02,0.25,0.3333,10,NC1-SHUFFLED,1,0,1,1,5050,5050,500.0,21,10120,0,120,0,0,1,0,0.4,2,0,False,False,0
task_0015,family_02,template_02,0.25,0.3333,10,NC2-RANDOM,1,0,0,1,5050,5050,500.0,21,10120,0,120,0,0,1,1,0.8,4,0,False,False,0
task_0015,family_02,template_02,0.25,0.3333,10,NC3-LENGTH,1,0,0,1,5050,5050,500,21,10120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0015,family_02,template_02,0.25,0.3333,10,NC4-ABLATION,1,0,0,1,5550,5550,550.0,21,1320,0,120,10,1,1,0,0.8,4,0,False,False,0
task_0016,family_02,template_02,0.5,0.6667,10,P-SPIDER-MEA,1,0,0,1,470,470,16.0,3,380,0,120,1,1,1,0,0.97,4,0,True,False,1
task_0016,family_02,template_02,0.5,0.6667,10,B-COLD,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0016,family_02,template_02,0.5,0.6667,10,B-RAG-EMBED,1,0,0,1,3900,3900,365.0,19,7630,150,120,3,1,1,0,0.5,2,0,False,False,0
task_0016,family_02,template_02,0.5,0.6667,10,B-STAGEHAND-CACHE,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0016,family_02,template_02,0.5,0.6667,10,B-TERX-REPLAY,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0016,family_02,template_02,0.5,0.6667,10,NC1-SHUFFLED,1,0,1,1,5050,5050,500.0,21,10120,0,120,0,0,1,0,0.4,2,0,False,False,0
task_0016,family_02,template_02,0.5,0.6667,10,NC2-RANDOM,1,0,0,1,5050,5050,500.0,21,10120,0,120,0,0,1,1,0.8,4,0,False,False,0
task_0016,family_02,template_02,0.5,0.6667,10,NC3-LENGTH,1,0,0,1,5050,5050,500,21,10120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0016,family_02,template_02,0.5,0.6667,10,NC4-ABLATION,1,0,0,1,5550,5550,550.0,21,1320,0,120,10,1,1,0,0.8,4,0,False,False,0
task_0017,family_02,template_02,0.75,0.6667,10,P-SPIDER-MEA,1,0,0,1,470,470,16.0,3,380,0,120,1,1,1,0,0.92,4,0,True,False,1
task_0017,family_02,template_02,0.75,0.6667,10,B-COLD,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0017,family_02,template_02,0.75,0.6667,10,B-RAG-EMBED,1,0,0,1,3900,3900,365.0,19,7630,150,120,3,1,1,0,0.5,2,0,False,False,0
task_0017,family_02,template_02,0.75,0.6667,10,B-STAGEHAND-CACHE,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0017,family_02,template_02,0.75,0.6667,10,B-TERX-REPLAY,1,0,0,1,5050,5050,480.0,21,10120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0017,family_02,template_02,0.75,0.6667,10,NC1-SHUFFLED,1,0,1,1,5050,5050,500.0,21,10120,0,120,0,0,1,0,0.4,2,0,False,False,0
task_0017,family_02,template_02,0.75,0.6667,10,NC2-RANDOM,1,0,0,1,5050,5050,500.0,21,10120,0,120,0,0,1,1,0.8,4,0,False,False,0
task_0017,family_02,template_02,0.75,0.6667,10,NC3-LENGTH,1,0,0,1,5050,5050,500,21,10120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0017,family_02,template_02,0.75,0.6667,10,NC4-ABLATION,1,0,0,1,5550,5550,550.0,21,1320,0,120,10,1,1,0,0.8,4,0,False,False,0
task_0018,family_03,template_03,0.0,0.0,11,P-SPIDER-MEA,1,0,0,1,470,470,14.545454545454545,3,380,0,120,1,1,1,0,0.92,4,0,True,False,1
task_0018,family_03,template_03,0.0,0.0,11,B-COLD,1,0,0,1,5550,5550,481.8181818181818,23,11120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0018,family_03,template_03,0.0,0.0,11,B-RAG-EMBED,1,0,0,1,800,800,50.0,13,1590,150,120,11,1,1,0,0.5,2,0,False,False,0
