task_id,novelty_fraction,system,success,false_accept,tokens,browser_calls,latency_ms,reused_steps,unknown,hit
task_0.00_06,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_07,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_07,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_07,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_07,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_07,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_07,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_08,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_08,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_08,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_08,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_08,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_08,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_09,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_09,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_09,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_09,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_09,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_09,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_10,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_10,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_10,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_10,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_10,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_10,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_11,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_11,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_11,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_11,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_11,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_11,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_12,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_12,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_12,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_12,0.0,B-RAG,0,0,5200,41,59750.0,0,0,0
task_0.00_12,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_12,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_13,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_13,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_13,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_13,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_13,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_13,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_14,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_14,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_14,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_14,0.0,B-RAG,1,1,5200,41,59750.0,0,0,0
task_0.00_14,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_14,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_15,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_15,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_15,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_15,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_15,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_15,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_16,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_16,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_16,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_16,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_16,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_16,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_17,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_17,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_17,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_17,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_17,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_17,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_18,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_18,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_18,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_18,0.0,B-RAG,0,0,5200,41,59750.0,0,0,0
task_0.00_18,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_18,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_19,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_19,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_19,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_19,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_19,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_19,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_00,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_00,0.25,B-COLD,0,0,5000,40,58000.0,0,0,0
task_0.25_00,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_00,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_00,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_00,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_01,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_01,0.25,B-COLD,0,0,5000,40,58000.0,0,0,0
task_0.25_01,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_01,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_01,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_01,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_02,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_02,0.25,B-COLD,0,0,5000,40,58000.0,0,0,0
task_0.25_02,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_02,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_02,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_02,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_03,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_03,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_03,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_03,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_03,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_03,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_04,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_04,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_04,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_04,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_04,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_04,0.25,B-LENGTH-PROPORTIONAL,0,0,5000,40,58000.0,0,0,0
task_0.25_05,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_05,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_05,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_05,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_05,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_05,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_06,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_06,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_06,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_06,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_06,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_06,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_07,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_07,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_07,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_07,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_07,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_07,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_08,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_08,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_08,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_08,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_08,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_08,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_09,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_09,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_09,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_09,0.25,B-RAG,0,0,5200,41,59750.0,0,0,0
task_0.25_09,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_09,0.25,B-LENGTH-PROPORTIONAL,0,0,5000,40,58000.0,0,0,0
task_0.25_10,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_10,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_10,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_10,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_10,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_10,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_11,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_11,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_11,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_11,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_11,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_11,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_12,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_12,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_12,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_12,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_12,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_12,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_13,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_13,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_13,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_13,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_13,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_13,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_14,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_14,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_14,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_14,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_14,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_14,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_15,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_15,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_15,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_15,0.25,B-RAG,1,1,5200,41,59750.0,0,0,0
task_0.25_15,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_15,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_16,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_16,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_16,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_16,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_16,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_16,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_17,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_17,0.25,B-COLD,0,0,5000,40,58000.0,0,0,0
task_0.25_17,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_17,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_17,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_17,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_18,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_18,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_18,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_18,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_18,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_18,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.25_19,0.25,SPIDER,1,0,1250,10,5170.0,0.8,0,0
task_0.25_19,0.25,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.25_19,0.25,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.25_19,0.25,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.25_19,0.25,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.25_19,0.25,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.50_00,0.5,SPIDER,1,0,2750,22,18970.0,0.5,0,0
task_0.50_00,0.5,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.50_00,0.5,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.50_00,0.5,B-RAG,0,0,5200,41,59750.0,0,0,0
task_0.50_00,0.5,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.50_00,0.5,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.50_01,0.5,SPIDER,1,0,2750,22,18970.0,0.5,0,0
task_0.50_01,0.5,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.50_01,0.5,B-INSTRUCTIONS,0,0,4700,36,48280.0,0,0,0
task_0.50_01,0.5,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.50_01,0.5,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.50_01,0.5,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.50_02,0.5,SPIDER,1,0,1750,14,8330.0,0.0,0,0
task_0.50_02,0.5,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.50_02,0.5,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.50_02,0.5,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.50_02,0.5,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.50_02,0.5,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.50_03,0.5,SPIDER,1,0,2750,22,18970.0,0.5,0,0
task_0.50_03,0.5,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.50_03,0.5,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.50_03,0.5,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.50_03,0.5,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.50_03,0.5,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.50_04,0.5,SPIDER,1,0,2750,22,18970.0,0.5,0,0
task_0.50_04,0.5,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.50_04,0.5,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.50_04,0.5,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.50_04,0.5,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.50_04,0.5,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.50_05,0.5,SPIDER,1,0,2750,22,18970.0,0.5,0,0
task_0.50_05,0.5,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.50_05,0.5,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.50_05,0.5,B-RAG,0,0,5200,41,59750.0,0,0,0
task_0.50_05,0.5,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.50_05,0.5,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.50_06,0.5,SPIDER,1,0,2750,22,18970.0,0.5,0,0
task_0.50_06,0.5,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.50_06,0.5,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.50_06,0.5,B-RAG,0,0,5200,41,59750.0,0,0,0
task_0.50_06,0.5,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.50_06,0.5,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.50_07,0.5,SPIDER,1,0,2750,22,18970.0,0.5,0,0
task_0.50_07,0.5,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.50_07,0.5,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.50_07,0.5,B-RAG,1,1,5200,41,59750.0,0,0,0
task_0.50_07,0.5,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.50_07,0.5,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.50_08,0.5,SPIDER,1,0,1250,10,4930.0,0.0,0,0
task_0.50_08,0.5,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.50_08,0.5,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.50_08,0.5,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.50_08,0.5,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.50_08,0.5,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.50_09,0.5,SPIDER,1,0,2750,22,18970.0,0.5,0,0
task_0.50_09,0.5,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.50_09,0.5,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.50_09,0.5,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.50_09,0.5,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.50_09,0.5,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.50_10,0.5,SPIDER,1,0,1750,14,8330.0,0.0,0,0
task_0.50_10,0.5,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.50_10,0.5,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.50_10,0.5,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.50_10,0.5,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.50_10,0.5,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.50_11,0.5,SPIDER,1,0,2750,22,18970.0,0.5,0,0
task_0.50_11,0.5,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.50_11,0.5,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.50_11,0.5,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.50_11,0.5,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.50_11,0.5,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.50_12,0.5,SPIDER,1,0,2750,22,18970.0,0.5,0,0
task_0.50_12,0.5,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.50_12,0.5,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.50_12,0.5,B-RAG,0,0,5200,41,59750.0,0,0,0
task_0.50_12,0.5,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.50_12,0.5,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.50_13,0.5,SPIDER,1,0,2750,22,18970.0,0.5,0,0
task_0.50_13,0.5,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.50_13,0.5,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.50_13,0.5,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.50_13,0.5,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.50_13,0.5,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.50_14,0.5,SPIDER,1,0,1750,14,8330.0,0.0,0,0
task_0.50_14,0.5,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.50_14,0.5,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.50_14,0.5,B-RAG,1,0,5200,41,59750.0,0,0,0
