task_id,novelty_fraction,system,success,false_accept,tokens,browser_calls,latency_ms,reused_steps,unknown
task_0.00_05,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_05,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_05,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_05,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_06,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_06,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_06,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_06,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_06,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_07,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_07,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_07,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_07,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_07,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_08,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_08,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_08,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_08,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_08,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_09,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_09,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_09,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_09,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_09,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_10,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_10,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_10,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_10,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_10,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_11,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_11,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_11,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_11,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_11,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_12,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_12,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_12,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_12,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_12,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_13,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_13,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_13,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_13,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_13,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_14,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_14,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_14,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_14,0.0,B-RAG,0,0,5200,21,13070,0,0
task_0.00_14,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_15,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_15,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_15,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_15,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_15,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_16,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_16,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_16,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_16,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_16,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_17,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_17,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_17,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_17,0.0,B-RAG,0,0,5200,21,13070,0,0
task_0.00_17,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_18,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_18,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_18,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_18,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_18,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_19,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_19,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_19,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_19,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_19,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_00,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_00,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_00,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_00,0.25,B-RAG,1,0,5200,21,13070,0,0
task_0.25_00,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_01,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_01,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_01,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_01,0.25,B-RAG,1,0,5200,21,13070,0,0
task_0.25_01,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_02,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_02,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_02,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_02,0.25,B-RAG,1,0,5200,21,13070,0,0
task_0.25_02,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_03,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_03,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_03,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_03,0.25,B-RAG,1,0,5200,21,13070,0,0
task_0.25_03,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_04,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_04,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_04,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_04,0.25,B-RAG,1,0,5200,21,13070,0,0
task_0.25_04,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_05,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_05,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_05,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_05,0.25,B-RAG,0,0,5200,21,13070,0,0
task_0.25_05,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_06,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_06,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_06,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_06,0.25,B-RAG,0,0,5200,21,13070,0,0
task_0.25_06,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_07,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_07,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_07,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_07,0.25,B-RAG,1,0,5200,21,13070,0,0
task_0.25_07,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_08,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_08,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_08,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_08,0.25,B-RAG,0,0,5200,21,13070,0,0
task_0.25_08,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_09,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_09,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_09,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_09,0.25,B-RAG,1,0,5200,21,13070,0,0
task_0.25_09,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_10,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_10,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_10,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_10,0.25,B-RAG,1,0,5200,21,13070,0,0
task_0.25_10,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_11,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_11,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_11,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_11,0.25,B-RAG,1,0,5200,21,13070,0,0
task_0.25_11,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_12,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_12,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_12,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_12,0.25,B-RAG,1,0,5200,21,13070,0,0
task_0.25_12,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_13,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_13,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_13,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_13,0.25,B-RAG,1,0,5200,21,13070,0,0
task_0.25_13,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_14,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_14,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_14,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_14,0.25,B-RAG,0,0,5200,21,13070,0,0
task_0.25_14,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_15,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_15,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_15,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_15,0.25,B-RAG,1,0,5200,21,13070,0,0
task_0.25_15,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_16,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_16,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_16,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_16,0.25,B-RAG,1,0,5200,21,13070,0,0
task_0.25_16,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_17,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_17,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_17,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_17,0.25,B-RAG,1,0,5200,21,13070,0,0
task_0.25_17,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_18,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_18,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_18,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_18,0.25,B-RAG,0,0,5200,21,13070,0,0
task_0.25_18,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.25_19,0.25,SPIDER,1,0,1250,5,3250,0.8,0
task_0.25_19,0.25,B-COLD,1,0,5000,20,12400,0,0
task_0.25_19,0.25,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.25_19,0.25,B-RAG,1,0,5200,21,13070,0,0
task_0.25_19,0.25,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_00,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_00,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_00,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_00,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_00,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_01,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_01,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_01,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_01,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_01,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_02,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_02,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_02,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_02,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_02,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_03,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_03,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_03,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_03,0.5,B-RAG,0,0,5200,21,13070,0,0
task_0.50_03,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_04,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_04,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_04,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_04,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_04,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_05,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_05,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_05,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_05,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_05,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_06,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_06,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_06,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_06,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_06,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_07,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_07,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_07,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_07,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_07,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_08,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_08,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_08,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_08,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_08,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_09,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_09,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_09,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_09,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_09,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_10,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_10,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_10,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_10,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_10,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_11,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_11,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_11,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_11,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_11,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_12,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_12,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_12,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_12,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_12,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_13,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_13,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_13,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_13,0.5,B-RAG,0,0,5200,21,13070,0,0
task_0.50_13,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_14,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_14,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_14,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_14,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_14,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_15,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_15,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_15,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_15,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_15,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_16,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_16,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_16,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_16,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_16,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_17,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_17,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_17,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_17,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_17,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_18,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_18,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_18,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_18,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_18,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.50_19,0.5,SPIDER,1,0,2750,11,6970,0.5,0
task_0.50_19,0.5,B-COLD,1,0,5000,20,12400,0,0
task_0.50_19,0.5,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.50_19,0.5,B-RAG,1,0,5200,21,13070,0,0
task_0.50_19,0.5,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_00,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_00,0.75,B-COLD,1,0,5000,20,12400,0,0
task_0.75_00,0.75,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.75_00,0.75,B-RAG,0,0,5200,21,13070,0,0
task_0.75_00,0.75,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_01,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_01,0.75,B-COLD,1,0,5000,20,12400,0,0
task_0.75_01,0.75,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.75_01,0.75,B-RAG,1,0,5200,21,13070,0,0
task_0.75_01,0.75,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_02,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_02,0.75,B-COLD,1,0,5000,20,12400,0,0
task_0.75_02,0.75,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.75_02,0.75,B-RAG,1,0,5200,21,13070,0,0
task_0.75_02,0.75,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_03,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_03,0.75,B-COLD,1,0,5000,20,12400,0,0
task_0.75_03,0.75,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.75_03,0.75,B-RAG,1,0,5200,21,13070,0,0
task_0.75_03,0.75,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_04,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_04,0.75,B-COLD,1,0,5000,20,12400,0,0
task_0.75_04,0.75,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.75_04,0.75,B-RAG,0,0,5200,21,13070,0,0
task_0.75_04,0.75,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_05,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_05,0.75,B-COLD,1,0,5000,20,12400,0,0
task_0.75_05,0.75,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.75_05,0.75,B-RAG,1,0,5200,21,13070,0,0
task_0.75_05,0.75,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_06,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_06,0.75,B-COLD,1,0,5000,20,12400,0,0
task_0.75_06,0.75,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.75_06,0.75,B-RAG,1,0,5200,21,13070,0,0
task_0.75_06,0.75,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_07,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_07,0.75,B-COLD,1,0,5000,20,12400,0,0
task_0.75_07,0.75,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.75_07,0.75,B-RAG,1,0,5200,21,13070,0,0
task_0.75_07,0.75,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_08,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_08,0.75,B-COLD,1,0,5000,20,12400,0,0
task_0.75_08,0.75,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.75_08,0.75,B-RAG,1,0,5200,21,13070,0,0
task_0.75_08,0.75,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_09,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_09,0.75,B-COLD,1,0,5000,20,12400,0,0
task_0.75_09,0.75,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.75_09,0.75,B-RAG,1,0,5200,21,13070,0,0
task_0.75_09,0.75,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_10,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_10,0.75,B-COLD,1,0,5000,20,12400,0,0
task_0.75_10,0.75,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.75_10,0.75,B-RAG,1,0,5200,21,13070,0,0
task_0.75_10,0.75,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_11,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_11,0.75,B-COLD,1,0,5000,20,12400,0,0
task_0.75_11,0.75,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.75_11,0.75,B-RAG,1,0,5200,21,13070,0,0
task_0.75_11,0.75,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_12,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_12,0.75,B-COLD,1,0,5000,20,12400,0,0
task_0.75_12,0.75,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.75_12,0.75,B-RAG,1,0,5200,21,13070,0,0
task_0.75_12,0.75,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_13,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_13,0.75,B-COLD,1,0,5000,20,12400,0,0
task_0.75_13,0.75,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.75_13,0.75,B-RAG,1,0,5200,21,13070,0,0
task_0.75_13,0.75,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_14,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_14,0.75,B-COLD,1,0,5000,20,12400,0,0
task_0.75_14,0.75,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.75_14,0.75,B-RAG,1,0,5200,21,13070,0,0
task_0.75_14,0.75,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.75_15,0.75,SPIDER,1,0,3750,15,9450,0.3,0
task_0.75_15,0.75,B-COLD,1,0,5000,20,12400,0,0
